region,region_type,phase,base_encounter_chance_pct,entity_name,entity_type,active,danger,raw_level,adjusted_level,conditional_probability_pct,absolute_probability_pct
Andrast,province,morning,55,Birds,flying_animals,day,0,5,6,4.73,2.6
Andrast,province,morning,55,Common Folk,humans,all-day,0,6,6,4.73,2.6
Andrast,province,morning,55,Daen Coentis,humans,all-day,0,6,6,4.73,2.6
Andrast,province,morning,55,Daen folk,humans,all-day,0,6,6,4.73,2.6
Andrast,province,morning,55,Dúnedain,humans,all-day,0,6,6,4.73,2.6
Andrast,province,morning,55,Foxes,carnivores,all-day,1,6,6,4.73,2.6
Andrast,province,morning,55,Sakalai,humans,all-day,0,6,6,4.73,2.6
Andrast,province,morning,55,Squirrels,other_animals,day,0,5,6,4.73,2.6
Andrast,province,morning,55,Waterfowl,flying_animals,day,0,5,6,4.73,2.6
Andrast,province,morning,55,Wolves,carnivores,all-day,2,6,6,4.73,2.6
Andrast,province,morning,55,Crows,flying_animals,day,0,4,5,2.96,1.63
Andrast,province,morning,55,Deer,herbivores,all-day,0,5,5,2.96,1.63
Andrast,province,morning,55,Fish,water_animals,all-day,0,5,5,2.96,1.63
Andrast,province,morning,55,Hares,herbivores,all-day,0,5,5,2.96,1.63
Andrast,province,morning,55,Merchants,humans,day,0,4,5,2.96,1.63
Andrast,province,morning,55,Rabbits,herbivores,all-day,0,5,5,2.96,1.63
Andrast,province,morning,55,Wild Bees,insects,day,1,4,5,2.96,1.63
Andrast,province,morning,55,Dunlendings,humans,all-day,1,4,4,1.85,1.02
Andrast,province,morning,55,Elk,herbivores,all-day,0,4,4,1.85,1.02
Andrast,province,morning,55,Grazing Animals,herbivores,all-day,0,4,4,1.85,1.02
Andrast,province,morning,55,Haradrim,humans,all-day,0,4,4,1.85,1.02
Andrast,province,morning,55,Hornets,insects,day,1,3,4,1.85,1.02
Andrast,province,morning,55,Rats,herbivores,all-day,0,4,4,1.85,1.02
Andrast,province,morning,55,Sheep,herbivores,all-day,0,4,4,1.85,1.02
Andrast,province,morning,55,Travellers,humans,all-day,0,4,4,1.85,1.02
Andrast,province,morning,55,Wild Animals,other_animals,all-day,0,4,4,1.85,1.02
Andrast,province,morning,55,Wild Dogs,carnivores,all-day,2,4,4,1.85,1.02
Andrast,province,morning,55,Bats,flying_animals,nocturnal,0,4,3,1.16,0.64
Andrast,province,morning,55,Cathfiar,carnivores,all-day,2,3,3,1.16,0.64
Andrast,province,morning,55,Owls,flying_animals,nocturnal,0,4,3,1.16,0.64
Andrast,province,morning,55,Snakes,reptiles,day,2,2,3,1.16,0.64
Andrast,province,morning,55,Undead,undead,nocturnal,3,4,3,1.16,0.64
Andrast,province,morning,55,Armed Patrol,humans,all-day,1,2,2,0.72,0.4
Andrast,province,morning,55,Corsairs,humans,all-day,3,2,2,0.72,0.4
Andrast,province,morning,55,Goats,herbivores,all-day,0,2,2,0.72,0.4
Andrast,province,morning,55,Nobles & Leaders,humans,all-day,0,2,2,0.72,0.4
Andrast,province,morning,55,Solitary Dwarf,dwarves,all-day,0,2,2,0.72,0.4
Andrast,province,morning,55,Boars,other_animals,all-day,2,1,1,0.45,0.25
Andrast,province,morning,55,Brigands & Outlaws,humans,all-day,3,1,1,0.45,0.25
Andrast,province,morning,55,Dwarves,dwarves,all-day,0,1,1,0.45,0.25
Andrast,province,morning,55,Elves,elves,all-day,0,1,1,0.45,0.25
Andrast,province,morning,55,Eredrim,humans,all-day,0,1,1,0.45,0.25
Andrast,province,morning,55,Military Unit,humans,all-day,1,1,1,0.45,0.25
Andrast,province,morning,55,Natural Hazards,hazards,all-day,2,1,1,0.45,0.25
Andrast,province,morning,55,Smugglers,humans,all-day,3,1,1,0.45,0.25
Andrast,province,morning,55,Spies,humans,all-day,2,1,1,0.45,0.25
Andrast,province,afternoon,55,Birds,flying_animals,day,0,5,6,4.73,2.6
Andrast,province,afternoon,55,Common Folk,humans,all-day,0,6,6,4.73,2.6
Andrast,province,afternoon,55,Daen Coentis,humans,all-day,0,6,6,4.73,2.6
Andrast,province,afternoon,55,Daen folk,humans,all-day,0,6,6,4.73,2.6
Andrast,province,afternoon,55,Dúnedain,humans,all-day,0,6,6,4.73,2.6
Andrast,province,afternoon,55,Foxes,carnivores,all-day,1,6,6,4.73,2.6
Andrast,province,afternoon,55,Sakalai,humans,all-day,0,6,6,4.73,2.6
Andrast,province,afternoon,55,Squirrels,other_animals,day,0,5,6,4.73,2.6
Andrast,province,afternoon,55,Waterfowl,flying_animals,day,0,5,6,4.73,2.6
Andrast,province,afternoon,55,Wolves,carnivores,all-day,2,6,6,4.73,2.6
Andrast,province,afternoon,55,Crows,flying_animals,day,0,4,5,2.96,1.63
Andrast,province,afternoon,55,Deer,herbivores,all-day,0,5,5,2.96,1.63
Andrast,province,afternoon,55,Fish,water_animals,all-day,0,5,5,2.96,1.63
Andrast,province,afternoon,55,Hares,herbivores,all-day,0,5,5,2.96,1.63
