region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T00:00,-2.5,66,0.0,0.0,81,21.2,345,1015.1,0.346,0.03,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T01:00,-2.7,70,0.0,0.0,0,20.4,346,1016.2,0.346,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T02:00,-3.1,71,0.0,0.0,0,19.5,344,1016.6,0.345,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T03:00,-3.4,70,0.0,0.0,0,19.0,345,1016.4,0.345,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T04:00,-3.7,70,0.0,0.0,0,18.3,344,1016.5,0.345,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T05:00,-3.9,69,0.0,0.0,0,16.9,344,1017.3,0.345,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T06:00,-4.2,68,0.0,0.0,0,15.3,341,1017.6,0.345,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T07:00,-4.4,68,0.0,0.0,0,14.5,337,1018.0,0.345,0.02,4.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T08:00,-4.0,66,0.0,0.0,0,14.5,337,1018.6,0.345,0.03,78.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T09:00,-3.4,64,0.0,0.0,0,14.6,340,1019.3,0.345,0.05,189.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T10:00,-2.7,62,0.0,0.0,0,15.2,338,1019.8,0.345,0.07,275.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T11:00,-2.1,60,0.0,0.0,0,14.5,341,1019.8,0.345,0.09,318.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T12:00,-1.8,59,0.0,0.0,0,12.9,342,1019.2,0.345,0.09,311.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T13:00,-1.7,58,0.0,0.0,0,11.5,340,1019.0,0.344,0.07,255.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T14:00,-2.0,58,0.0,0.0,0,10.2,337,1019.5,0.344,0.05,160.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T15:00,-2.5,60,0.0,0.0,0,6.8,328,1019.4,0.344,0.02,49.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T16:00,-2.9,62,0.0,0.0,1,6.7,324,1020.0,0.344,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T17:00,-3.2,63,0.0,0.0,85,6.1,315,1019.3,0.344,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T18:00,-3.2,62,0.0,0.0,99,5.9,308,1019.5,0.344,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T19:00,-3.5,64,0.0,0.0,41,5.7,305,1019.6,0.344,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T20:00,-3.8,65,0.0,0.0,0,5.7,305,1019.6,0.344,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T21:00,-3.9,65,0.0,0.0,0,6.2,306,1020.0,0.344,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T22:00,-3.6,64,0.0,0.0,0,5.3,298,1020.0,0.344,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-01T23:00,-3.3,62,0.0,0.0,0,4.7,293,1020.1,0.344,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T00:00,-4.0,67,0.0,0.0,0,4.4,279,1020.1,0.344,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T01:00,-4.2,69,0.0,0.0,0,4.0,270,1020.1,0.344,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T02:00,-4.2,70,0.0,0.0,0,4.2,250,1019.3,0.344,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T03:00,-4.2,71,0.0,0.0,0,5.5,238,1018.7,0.344,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T04:00,-4.3,71,0.0,0.0,0,6.9,231,1018.1,0.344,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T05:00,-4.3,71,0.0,0.0,0,8.0,234,1017.5,0.344,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T06:00,-4.3,70,0.0,0.0,0,9.4,230,1017.2,0.344,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T07:00,-4.5,69,0.0,0.0,59,9.2,231,1016.9,0.344,0.01,4.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T08:00,-3.7,63,0.0,0.0,14,10.9,226,1017.0,0.344,0.03,76.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T09:00,-2.7,59,0.0,0.0,97,13.0,222,1016.2,0.344,0.06,182.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T10:00,-1.9,57,0.0,0.0,100,17.9,218,1014.1,0.344,0.08,253.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T11:00,-1.3,55,0.0,0.0,99,17.1,228,1013.4,0.344,0.09,262.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T12:00,-1.0,54,0.0,0.0,99,16.4,232,1011.5,0.344,0.08,221.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T13:00,-0.7,54,0.1,0.07,99,15.5,222,1010.4,0.344,0.07,164.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T14:00,-0.7,55,0.1,0.07,100,15.3,219,1009.2,0.344,0.06,98.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T15:00,-1.2,59,0.0,0.0,99,16.7,217,1007.4,0.344,0.04,33.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T16:00,-1.7,60,0.0,0.0,99,17.7,219,1006.1,0.344,0.04,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T17:00,-1.8,60,0.0,0.0,96,18.1,224,1005.0,0.344,0.03,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T18:00,-1.8,58,0.0,0.0,100,19.1,224,1003.4,0.344,0.04,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T19:00,-1.7,57,0.0,0.0,98,19.4,223,1001.9,0.343,0.04,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T20:00,-1.5,56,0.0,0.0,100,18.6,227,1000.3,0.343,0.04,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T21:00,-1.1,54,0.0,0.0,100,17.4,232,999.4,0.343,0.04,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T22:00,-0.8,53,0.0,0.0,100,16.2,238,997.8,0.343,0.04,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-02T23:00,-0.6,53,0.0,0.0,100,13.7,247,997.9,0.343,0.03,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T00:00,-0.5,54,0.2,0.14,100,10.6,260,997.3,0.343,0.03,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T01:00,-0.4,59,0.1,0.07,100,8.4,263,996.7,0.343,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T02:00,-0.5,65,0.1,0.07,100,7.2,267,996.3,0.343,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T03:00,-0.2,71,0.1,0.07,100,7.6,267,995.2,0.343,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T04:00,0.2,75,0.1,0.07,100,7.9,267,994.5,0.343,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T05:00,0.3,78,0.0,0.0,100,8.4,263,993.3,0.343,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T06:00,0.4,79,0.0,0.0,100,10.0,257,993.1,0.343,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T07:00,0.2,81,0.0,0.0,100,11.4,259,992.8,0.343,0.02,2.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T08:00,0.4,76,0.1,0.07,100,12.7,263,993.0,0.343,0.03,24.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T09:00,0.9,70,0.1,0.07,98,13.7,272,993.1,0.343,0.04,51.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T10:00,2.1,61,0.1,0.0,84,13.0,272,992.9,0.343,0.06,101.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T11:00,3.3,56,0.0,0.0,65,12.6,272,992.2,0.343,0.09,184.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T12:00,4.1,55,0.0,0.0,59,11.5,272,991.4,0.343,0.1,233.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T13:00,4.4,60,0.0,0.0,48,12.1,280,991.1,0.343,0.09,182.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T14:00,4.1,65,0.0,0.0,56,11.4,288,991.4,0.343,0.06,129.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T15:00,2.9,70,0.0,0.0,33,11.2,272,991.3,0.343,0.03,44.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T16:00,1.7,73,0.1,0.0,84,12.0,261,991.4,0.343,0.03,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T17:00,1.5,75,0.2,0.0,99,13.7,267,990.9,0.343,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T18:00,1.4,78,0.3,0.07,100,15.3,278,990.9,0.344,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T19:00,1.3,79,0.2,0.0,100,17.0,287,990.6,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T20:00,1.2,83,0.2,0.0,85,19.0,295,990.1,0.346,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T21:00,1.3,84,0.1,0.0,83,20.1,299,990.0,0.347,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T22:00,1.2,85,0.2,0.0,48,16.1,297,991.2,0.348,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-03T23:00,1.1,86,0.2,0.0,58,16.3,301,991.1,0.348,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T00:00,1.0,87,0.1,0.07,56,16.3,305,990.3,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T01:00,0.9,88,0.1,0.0,73,16.6,311,990.4,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T02:00,0.5,90,0.0,0.0,91,16.8,315,990.0,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T03:00,0.5,90,0.0,0.0,94,17.3,317,989.9,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T04:00,0.4,90,0.0,0.0,90,16.3,317,989.5,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T05:00,0.4,90,0.0,0.0,82,15.3,315,989.8,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T06:00,0.2,90,0.0,0.0,82,14.0,312,989.5,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T07:00,-0.3,90,0.0,0.0,91,12.9,306,989.6,0.348,0.01,2.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T08:00,0.4,90,0.0,0.0,99,14.6,303,989.9,0.348,0.02,41.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T09:00,1.4,88,0.1,0.0,68,15.4,303,989.8,0.348,0.04,109.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T10:00,2.3,83,0.1,0.0,33,16.5,302,990.2,0.348,0.06,189.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T11:00,2.6,82,0.2,0.0,41,18.0,307,989.3,0.348,0.07,226.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T12:00,3.1,81,0.2,0.0,41,18.4,309,989.1,0.349,0.08,275.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T13:00,3.0,79,0.1,0.0,23,17.8,313,989.5,0.349,0.07,223.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T14:00,2.4,79,0.0,0.0,16,15.1,310,989.3,0.349,0.05,136.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T15:00,1.6,80,0.0,0.0,12,13.1,307,989.6,0.349,0.02,52.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T16:00,0.7,82,0.0,0.0,5,11.9,305,990.2,0.349,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T17:00,0.0,82,0.0,0.0,7,11.0,302,990.5,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T18:00,-0.5,83,0.0,0.0,13,11.6,300,990.6,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T19:00,0.4,84,0.0,0.0,25,12.6,301,991.0,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T20:00,0.1,86,0.0,0.0,36,14.6,303,991.3,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T21:00,-0.0,87,0.0,0.0,36,15.5,306,991.8,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T22:00,-0.1,88,0.0,0.0,17,14.5,305,993.3,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-04T23:00,-0.2,88,0.0,0.0,41,17.6,313,992.4,0.348,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T00:00,-0.5,87,0.0,0.0,57,19.1,319,994.1,0.348,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T01:00,-1.0,86,0.0,0.0,62,19.7,320,994.1,0.348,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T02:00,-1.5,85,0.0,0.0,37,20.0,321,994.6,0.348,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T03:00,-1.7,83,0.0,0.0,24,20.2,321,994.9,0.347,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T04:00,-2.0,82,0.0,0.0,35,19.9,325,995.5,0.347,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T05:00,-2.1,81,0.0,0.0,44,18.4,325,995.4,0.347,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T06:00,-2.2,80,0.0,0.0,16,16.9,326,996.1,0.347,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T07:00,-2.5,80,0.0,0.0,11,15.7,323,996.8,0.347,0.01,4.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T08:00,-1.8,79,0.0,0.0,79,14.8,321,997.7,0.347,0.02,76.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T09:00,-0.9,72,0.0,0.0,99,15.3,321,997.8,0.347,0.05,175.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T10:00,-0.2,67,0.0,0.0,100,20.5,336,998.0,0.347,0.07,229.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T11:00,0.1,65,0.0,0.0,99,18.4,329,997.6,0.347,0.08,231.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T12:00,0.5,64,0.0,0.0,99,17.1,325,997.9,0.346,0.08,203.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T13:00,0.6,67,0.0,0.0,98,14.9,323,997.9,0.346,0.06,140.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T14:00,0.5,72,0.1,0.07,100,10.6,325,998.4,0.346,0.04,85.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T15:00,0.0,79,0.1,0.07,98,5.0,291,998.7,0.346,0.02,32.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T16:00,-0.4,85,0.2,0.14,100,6.5,251,999.1,0.346,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T17:00,-0.7,89,0.3,0.21,100,8.2,247,999.7,0.346,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T18:00,-0.7,91,0.3,0.21,100,7.8,236,999.4,0.346,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T19:00,-0.5,88,0.1,0.07,100,9.7,222,999.1,0.346,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T20:00,-0.4,88,0.1,0.07,100,13.9,217,998.7,0.346,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T21:00,-0.4,87,0.1,0.07,100,15.8,215,997.9,0.346,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T22:00,-0.5,86,0.1,0.07,95,16.1,220,997.7,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-05T23:00,-0.4,84,0.0,0.0,92,18.2,232,996.7,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T00:00,-0.1,84,0.1,0.07,100,17.4,243,997.2,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T01:00,0.4,83,0.1,0.07,99,16.5,250,997.0,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T02:00,0.7,83,0.1,0.0,99,15.1,252,997.9,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T03:00,1.0,83,0.1,0.0,100,14.7,253,997.3,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T04:00,1.1,84,0.0,0.0,98,14.3,252,996.9,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T05:00,1.1,85,0.0,0.0,98,14.7,253,997.7,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T06:00,1.1,85,0.0,0.0,99,15.0,253,997.8,0.345,0.01,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T07:00,1.0,86,0.0,0.0,97,14.2,249,998.4,0.345,0.01,3.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T08:00,1.4,86,0.0,0.0,99,14.3,245,998.6,0.345,0.02,49.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T09:00,2.3,85,0.0,0.0,99,15.1,242,999.1,0.345,0.04,129.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T10:00,3.2,83,0.0,0.0,100,14.0,244,999.0,0.346,0.07,214.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T11:00,4.1,81,0.0,0.0,86,12.8,248,999.0,0.347,0.08,258.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T12:00,4.7,80,0.0,0.0,83,11.5,250,998.7,0.347,0.09,257.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T13:00,5.0,81,0.0,0.0,99,10.0,244,999.4,0.348,0.07,191.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T14:00,4.7,83,0.0,0.0,100,9.7,243,999.5,0.349,0.04,105.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T15:00,3.9,86,0.1,0.0,100,9.7,248,1000.3,0.349,0.02,22.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T16:00,3.4,87,0.1,0.0,100,10.0,249,1000.3,0.349,0.02,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T17:00,3.1,89,0.1,0.0,99,9.1,252,1001.1,0.349,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T18:00,2.7,90,0.0,0.0,99,8.7,265,1001.9,0.349,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T19:00,2.6,92,0.0,0.0,100,7.3,281,1002.4,0.35,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T20:00,2.1,94,0.0,0.0,100,6.6,279,1003.0,0.351,0.0,0.0
10,Esgaroth,Esgaroth,46.92,17.9,1950-01-06T21:00,1.6,95,0.0,0.0,100,6.1,273,1003.8,0.351,0.0,0.0
