region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
12,Harondor,Gondor,36.77,-2.19,1950-01-01T00:00,12.7,57,0.0,0.0,98,11.3,323,1004.9,0.289,0.05,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T01:00,11.0,70,0.0,0.0,92,11.3,329,1004.7,0.289,0.03,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T02:00,10.9,70,0.0,0.0,74,10.0,339,1004.9,0.289,0.02,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T03:00,10.6,71,0.0,0.0,97,11.8,340,1005.0,0.289,0.02,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T04:00,10.9,71,0.0,0.0,87,13.7,342,1004.6,0.289,0.03,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T05:00,11.0,69,0.0,0.0,64,13.0,341,1005.1,0.289,0.03,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T06:00,11.0,70,0.0,0.0,68,12.0,339,1005.7,0.29,0.03,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T07:00,10.6,69,0.0,0.0,74,10.0,334,1006.4,0.29,0.02,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T08:00,10.3,69,0.0,0.0,84,9.3,332,1006.7,0.29,0.03,11.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T09:00,11.3,67,0.0,0.0,87,10.6,332,1007.4,0.29,0.07,89.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T10:00,12.3,63,0.0,0.0,94,11.5,340,1007.7,0.289,0.12,215.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T11:00,13.4,57,0.0,0.0,67,14.0,348,1007.8,0.288,0.18,292.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T12:00,14.1,54,0.0,0.0,61,16.2,4,1006.7,0.286,0.2,305.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T13:00,14.8,52,0.0,0.0,59,19.7,18,1006.6,0.285,0.22,321.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T14:00,14.9,52,0.0,0.0,69,20.5,22,1006.8,0.283,0.21,288.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T15:00,14.5,56,0.0,0.0,58,17.6,26,1007.3,0.282,0.16,194.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T16:00,14.2,59,0.0,0.0,67,15.1,25,1008.2,0.281,0.11,116.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T17:00,13.7,62,0.0,0.0,70,15.4,21,1008.6,0.28,0.08,24.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T18:00,13.1,64,0.0,0.0,94,16.2,13,1009.1,0.28,0.05,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T19:00,12.9,66,0.0,0.0,99,18.6,9,1009.8,0.279,0.06,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T20:00,12.6,65,0.0,0.0,96,20.5,10,1010.4,0.279,0.06,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T21:00,12.3,63,0.8,0.0,94,20.9,356,1010.4,0.281,0.07,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T22:00,11.8,64,2.0,0.0,100,20.5,338,1009.5,0.282,0.06,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-01T23:00,11.3,67,0.2,0.0,100,23.5,349,1009.9,0.297,0.06,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T00:00,10.9,71,0.0,0.0,99,25.9,360,1010.9,0.301,0.06,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T01:00,10.9,71,0.0,0.0,98,27.2,6,1011.0,0.303,0.06,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T02:00,11.2,67,0.0,0.0,99,27.0,9,1012.0,0.303,0.06,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T03:00,11.2,67,0.0,0.0,99,26.8,11,1012.4,0.302,0.07,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T04:00,11.2,64,0.0,0.0,91,27.8,13,1012.5,0.301,0.07,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T05:00,11.2,61,0.0,0.0,75,27.9,14,1012.4,0.3,0.08,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T06:00,11.1,59,0.0,0.0,94,26.7,10,1012.4,0.299,0.08,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T07:00,10.7,61,0.0,0.0,93,25.5,9,1013.3,0.299,0.07,0.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T08:00,10.5,63,0.0,0.0,74,24.4,8,1013.0,0.298,0.08,10.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T09:00,11.1,63,0.0,0.0,47,22.0,5,1014.3,0.297,0.1,93.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T10:00,11.8,62,0.0,0.0,65,25.1,7,1013.8,0.295,0.14,229.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T11:00,12.4,61,0.0,0.0,50,26.7,16,1014.4,0.294,0.18,317.0
12,Harondor,Gondor,36.77,-2.19,1950-01-02T12:00,12.9,60,0.0,0.0,57,26.6,25,1014.0,0.292,0.2,353.0
