region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T00:00,8.1,91,0.0,0.0,2,16.3,338,990.8,0.386,0.0,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T01:00,7.5,91,0.0,0.0,2,15.6,341,990.4,0.385,0.0,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T02:00,7.2,91,0.0,0.0,0,14.7,349,990.3,0.385,0.0,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T03:00,6.9,91,0.0,0.0,0,14.1,354,990.2,0.385,0.0,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T04:00,6.7,90,0.0,0.0,0,13.7,358,989.8,0.384,0.0,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T05:00,6.5,90,0.0,0.0,0,13.3,358,989.8,0.384,0.0,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T06:00,6.3,89,0.0,0.0,0,13.7,355,990.3,0.384,0.0,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T07:00,5.7,88,0.0,0.0,0,13.7,357,990.6,0.383,0.0,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T08:00,5.4,87,0.0,0.0,0,13.7,357,990.9,0.383,0.02,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T09:00,6.1,83,0.0,0.0,0,14.0,360,991.5,0.383,0.03,71.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T10:00,7.8,76,0.0,0.0,0,13.7,355,992.2,0.382,0.08,224.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T11:00,9.6,67,0.0,0.0,0,15.2,4,992.5,0.381,0.15,360.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T12:00,11.1,61,0.0,0.0,0,16.4,15,991.5,0.38,0.21,453.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T13:00,12.1,56,0.0,0.0,0,16.0,23,990.8,0.379,0.23,487.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T14:00,12.8,54,0.0,0.0,0,15.0,21,990.1,0.378,0.23,461.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T15:00,13.0,52,0.0,0.0,1,14.9,20,989.8,0.377,0.2,379.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T16:00,12.7,53,0.0,0.0,1,13.9,21,990.1,0.377,0.15,250.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T17:00,11.5,58,0.0,0.0,1,11.2,21,990.2,0.376,0.07,98.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T18:00,10.0,62,0.0,0.0,0,10.6,18,990.4,0.376,0.03,3.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T19:00,9.2,63,0.0,0.0,0,10.4,20,991.0,0.376,0.03,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T20:00,8.4,65,0.0,0.0,0,10.2,23,991.4,0.375,0.03,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T21:00,7.8,66,0.0,0.0,0,10.5,27,991.8,0.375,0.02,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T22:00,7.2,66,0.0,0.0,0,9.7,27,991.1,0.375,0.02,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-01T23:00,6.8,67,0.0,0.0,0,11.1,29,991.2,0.375,0.02,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-02T00:00,6.4,67,0.0,0.0,0,11.9,35,992.0,0.374,0.03,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-02T01:00,6.3,67,0.0,0.0,0,12.7,45,991.6,0.374,0.03,0.0
20,Dor-en-Emyl,Gondor,38.57,-7.9,1950-01-02T02:00,6.2,67,0.0,0.0,0,13.6,53,992.0,0.374,0.03,0.0
