region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T00:00,5.4,92,0.0,0.0,91,4.5,151,1009.3,0.312,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T01:00,4.6,98,0.0,0.0,85,4.9,163,1009.2,0.312,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T02:00,4.3,98,0.0,0.0,97,5.2,164,1009.7,0.312,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T03:00,4.3,97,0.0,0.0,99,4.1,165,1009.6,0.312,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T04:00,3.9,98,0.0,0.0,99,3.8,163,1009.7,0.312,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T05:00,3.4,98,0.0,0.0,98,5.2,168,1010.3,0.312,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T06:00,3.3,98,0.0,0.0,97,5.8,173,1010.1,0.312,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T07:00,3.5,97,0.0,0.0,75,6.9,174,1010.4,0.311,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T08:00,3.5,98,0.0,0.0,77,7.7,169,1009.7,0.311,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T09:00,3.4,97,0.0,0.0,79,8.0,172,1010.3,0.311,0.0,5.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T10:00,4.3,95,0.0,0.0,87,9.0,185,1010.6,0.311,0.01,60.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T11:00,5.0,92,0.0,0.0,90,10.0,193,1011.1,0.311,0.04,127.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T12:00,5.7,90,0.0,0.0,86,11.6,206,1011.0,0.31,0.05,153.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T13:00,6.3,89,0.0,0.0,58,11.5,219,1010.3,0.31,0.06,191.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T14:00,6.8,89,0.0,0.0,100,12.3,232,1010.6,0.31,0.05,154.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T15:00,6.8,90,0.0,0.0,100,11.5,229,1010.5,0.31,0.03,66.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T16:00,6.7,91,0.0,0.0,99,10.7,225,1010.4,0.31,0.02,19.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T17:00,6.8,94,0.0,0.0,100,10.4,224,1010.2,0.309,0.01,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T18:00,7.2,93,0.0,0.0,97,10.7,222,1010.3,0.309,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T19:00,6.1,92,0.0,0.0,86,11.0,221,1010.0,0.309,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T20:00,5.9,93,0.0,0.0,66,12.0,224,1010.1,0.309,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T21:00,6.2,93,0.0,0.0,33,13.0,224,1009.9,0.309,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T22:00,6.5,93,0.0,0.0,90,14.3,221,1009.2,0.309,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-01T23:00,6.8,93,0.0,0.0,98,14.5,224,1008.7,0.309,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T00:00,7.0,94,0.0,0.0,100,14.8,229,1008.7,0.309,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T01:00,7.2,93,0.0,0.0,100,15.6,232,1008.8,0.308,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T02:00,7.5,93,0.0,0.0,100,15.8,227,1008.3,0.308,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T03:00,7.9,93,0.0,0.0,100,15.8,225,1007.3,0.308,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T04:00,8.2,95,0.0,0.0,100,17.1,229,1006.5,0.308,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T05:00,8.4,97,0.0,0.0,100,17.3,234,1005.7,0.31,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T06:00,8.7,98,0.1,0.0,100,17.8,238,1005.3,0.31,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T07:00,9.2,99,0.1,0.0,100,18.9,246,1004.8,0.312,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T08:00,9.6,99,0.2,0.0,100,19.3,249,1004.1,0.314,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T09:00,9.7,99,0.1,0.0,100,19.3,249,1004.5,0.315,0.01,1.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T10:00,9.8,99,0.1,0.0,100,21.6,255,1004.4,0.316,0.01,10.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T11:00,10.2,98,0.2,0.0,100,21.9,261,1004.2,0.317,0.02,24.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T12:00,10.5,97,0.2,0.0,100,23.1,266,1003.6,0.319,0.02,39.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T13:00,10.5,98,0.1,0.0,100,22.4,274,1003.2,0.321,0.02,40.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T14:00,10.3,97,0.1,0.0,100,21.0,275,1003.0,0.323,0.02,44.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T15:00,10.0,97,0.1,0.0,100,21.7,276,1002.7,0.324,0.02,23.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T16:00,9.8,98,0.1,0.0,100,21.1,278,1002.8,0.323,0.01,9.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T17:00,9.8,98,0.0,0.0,100,20.3,277,1002.1,0.323,0.01,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T18:00,10.0,98,0.0,0.0,100,20.9,281,1002.3,0.324,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T19:00,10.4,96,0.1,0.0,100,21.3,282,1002.4,0.323,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T20:00,10.4,96,0.2,0.0,100,21.6,281,1002.0,0.322,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T21:00,10.5,96,0.1,0.0,100,22.7,280,1002.1,0.322,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T22:00,10.4,96,0.0,0.0,99,22.7,281,1001.6,0.321,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-02T23:00,10.3,96,0.0,0.0,100,22.9,283,1001.3,0.32,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T00:00,10.3,96,0.0,0.0,100,23.1,285,1001.4,0.32,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T01:00,10.3,97,0.0,0.0,100,22.5,286,1001.0,0.319,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T02:00,10.3,97,0.0,0.0,100,23.0,287,1001.2,0.319,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T03:00,10.3,96,0.1,0.0,100,23.1,288,1001.6,0.319,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T04:00,10.2,97,0.1,0.0,100,22.8,288,1000.9,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T05:00,10.2,97,0.1,0.0,100,22.8,291,1000.8,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T06:00,10.3,98,0.1,0.0,100,22.1,292,1000.4,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T07:00,10.0,98,0.0,0.0,100,22.1,292,1000.3,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T08:00,10.0,98,0.0,0.0,100,22.3,291,1000.0,0.317,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T09:00,10.0,99,0.1,0.0,100,22.2,290,1000.4,0.317,0.01,1.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T10:00,9.8,98,0.1,0.0,100,24.8,296,999.9,0.318,0.01,16.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T11:00,9.8,95,0.1,0.0,100,24.3,297,1000.0,0.318,0.03,50.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T12:00,9.7,94,0.1,0.0,100,24.2,298,999.9,0.318,0.03,50.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T13:00,9.8,94,0.0,0.0,100,23.5,299,999.5,0.318,0.03,70.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T14:00,10.1,93,0.1,0.0,100,24.0,300,999.4,0.318,0.03,59.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T15:00,10.1,94,0.1,0.0,100,22.5,297,999.1,0.318,0.03,34.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T16:00,9.9,94,0.1,0.0,100,22.4,296,998.9,0.319,0.02,13.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T17:00,9.7,94,0.1,0.0,100,21.9,297,999.1,0.319,0.02,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T18:00,9.5,95,0.1,0.0,100,20.6,297,998.9,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T19:00,9.3,96,0.0,0.0,100,19.0,295,999.3,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T20:00,9.2,96,0.0,0.0,100,17.9,292,999.1,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T21:00,9.0,97,0.0,0.0,100,17.5,289,999.3,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T22:00,8.8,97,0.1,0.0,100,15.5,288,999.2,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-03T23:00,8.7,97,0.1,0.0,100,17.1,288,998.6,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-04T00:00,8.5,96,0.0,0.0,100,16.5,293,998.8,0.318,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-04T01:00,8.4,96,0.0,0.0,100,15.6,296,998.5,0.317,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-04T02:00,8.3,96,0.0,0.0,100,15.5,295,998.5,0.317,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-04T03:00,8.2,96,0.0,0.0,100,16.4,296,998.8,0.317,0.0,0.0
21,Enedhwaith,Enedhwaith,52.22,-3.94,1950-01-04T04:00,8.2,96,0.1,0.0,100,15.9,298,998.1,0.317,0.0,0.0
