region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T00:00,5.2,77,0.0,0.0,96,19.1,11,937.2,0.332,0.02,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T01:00,5.0,71,0.0,0.0,94,18.4,6,937.6,0.331,0.03,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T02:00,4.6,70,0.0,0.0,85,18.4,357,937.5,0.331,0.03,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T03:00,4.3,68,0.0,0.0,61,19.8,350,937.7,0.331,0.03,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T04:00,4.0,68,0.0,0.0,42,21.6,349,937.7,0.331,0.04,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T05:00,3.7,68,0.0,0.0,52,22.5,354,938.3,0.33,0.04,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T06:00,3.5,67,0.0,0.0,53,21.2,1,939.1,0.33,0.04,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T07:00,3.1,66,0.0,0.0,49,20.4,8,939.6,0.33,0.04,9.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T08:00,3.2,65,0.0,0.0,43,20.0,14,940.5,0.329,0.06,92.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T09:00,3.3,61,0.0,0.0,40,22.5,16,941.3,0.329,0.09,205.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T10:00,3.6,58,0.0,0.0,40,24.7,13,942.3,0.328,0.12,318.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T11:00,3.8,57,0.0,0.0,24,22.7,11,942.2,0.328,0.14,357.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T12:00,3.9,56,0.0,0.0,17,22.9,7,942.1,0.327,0.14,382.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T13:00,4.0,56,0.0,0.0,11,24.4,8,942.6,0.327,0.13,312.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T14:00,3.9,55,0.0,0.0,13,24.9,10,943.0,0.326,0.11,227.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T15:00,3.7,57,0.0,0.0,25,23.4,11,943.3,0.326,0.08,100.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T16:00,3.4,58,0.0,0.0,24,21.9,9,943.4,0.326,0.05,10.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T17:00,3.4,57,0.0,0.0,19,19.7,8,943.2,0.325,0.05,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T18:00,3.4,58,0.0,0.0,20,18.5,8,943.8,0.325,0.05,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T19:00,3.3,59,0.0,0.0,24,17.9,10,943.8,0.325,0.04,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T20:00,3.1,59,0.0,0.0,19,17.6,15,943.8,0.325,0.04,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T21:00,2.7,59,0.0,0.0,15,15.8,21,944.3,0.325,0.04,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T22:00,2.3,60,0.0,0.0,3,14.3,18,943.7,0.324,0.03,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-01T23:00,2.0,61,0.0,0.0,2,13.0,19,943.7,0.324,0.03,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T00:00,1.7,62,0.0,0.0,1,12.9,18,943.9,0.324,0.03,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T01:00,1.8,63,0.0,0.0,6,12.8,16,944.0,0.324,0.02,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T02:00,1.6,64,0.0,0.0,5,12.3,15,943.9,0.324,0.02,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T03:00,1.6,64,0.0,0.0,8,11.7,11,943.9,0.324,0.02,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T04:00,1.5,64,0.0,0.0,9,11.7,9,943.7,0.324,0.02,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T05:00,1.5,64,0.0,0.0,9,11.9,5,943.3,0.323,0.02,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T06:00,1.5,65,0.0,0.0,9,12.3,3,944.0,0.323,0.02,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T07:00,1.7,68,0.0,0.0,0,13.0,2,943.5,0.323,0.02,11.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T08:00,2.3,68,0.0,0.0,2,13.3,2,944.0,0.323,0.05,115.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T09:00,3.3,65,0.0,0.0,1,11.6,5,944.2,0.323,0.09,241.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T10:00,3.9,61,0.0,0.0,2,14.1,345,944.6,0.322,0.13,352.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T11:00,4.1,60,0.0,0.0,4,17.3,356,944.2,0.322,0.14,375.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T12:00,4.3,59,0.0,0.0,8,15.9,3,943.3,0.321,0.14,387.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T13:00,4.2,59,0.0,0.0,6,12.6,5,943.1,0.321,0.12,320.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T14:00,4.1,58,0.0,0.0,2,12.6,5,942.8,0.321,0.1,227.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T15:00,3.9,59,0.0,0.0,6,11.6,7,942.4,0.32,0.06,112.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T16:00,3.7,60,0.0,0.0,10,9.4,7,942.0,0.32,0.03,11.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T17:00,3.4,61,0.0,0.0,3,7.6,360,941.5,0.32,0.02,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T18:00,3.1,63,0.0,0.0,0,3.3,347,941.2,0.32,0.0,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T19:00,2.7,74,0.0,0.0,0,3.6,217,940.6,0.32,0.0,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T20:00,2.2,69,0.0,0.0,0,6.6,225,939.9,0.32,0.01,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T21:00,1.9,71,0.0,0.0,0,7.5,235,939.4,0.32,0.01,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T22:00,1.2,78,0.0,0.0,0,8.7,246,938.2,0.32,0.0,0.0
23,Tolfalas,Gondor,41.85,16.0,1950-01-02T23:00,0.5,81,0.0,0.0,0,6.3,246,937.1,0.32,0.0,0.0
