region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T00:00,6.0,94,0.0,0.0,40,14.8,179,1026.8,0.481,0.0,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T01:00,6.0,92,0.0,0.0,36,14.5,187,1026.3,0.48,0.0,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T02:00,6.3,93,0.0,0.0,49,13.1,189,1026.7,0.48,0.0,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T03:00,6.5,94,0.0,0.0,89,12.4,188,1026.6,0.48,0.0,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T04:00,7.1,94,0.0,0.0,57,12.6,183,1026.0,0.479,0.0,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T05:00,7.1,94,0.0,0.0,41,12.3,183,1026.0,0.479,0.0,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T06:00,7.2,94,0.0,0.0,60,13.0,186,1026.0,0.479,0.0,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T07:00,7.5,93,0.0,0.0,89,13.8,187,1026.5,0.479,0.0,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T08:00,7.7,93,0.0,0.0,97,14.2,189,1026.2,0.478,0.0,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T09:00,8.2,92,0.0,0.0,99,14.3,190,1027.1,0.478,0.02,0.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T10:00,8.6,92,0.0,0.0,100,12.6,193,1027.6,0.478,0.02,17.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T11:00,9.3,91,0.0,0.0,100,13.7,194,1027.7,0.478,0.03,35.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T12:00,9.8,91,0.0,0.0,100,13.8,189,1027.5,0.477,0.03,45.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T13:00,10.4,91,0.0,0.0,100,14.8,194,1026.6,0.477,0.04,60.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T14:00,10.8,91,0.0,0.0,100,15.4,196,1027.2,0.477,0.03,41.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T15:00,11.0,92,0.0,0.0,99,15.8,197,1026.9,0.477,0.03,25.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T16:00,11.0,94,0.0,0.0,100,15.8,197,1026.6,0.477,0.02,11.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T17:00,11.1,95,0.0,0.0,100,16.1,200,1026.7,0.477,0.02,1.0
30,Lairiardhon,Harlindon,52.85,-9.0,1950-01-01T18:00,11.1,96,0.0,0.0,96,16.5,203,1027.2,0.477,0.0,0.0
