region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T00:00,-4.2,56,0.0,0.0,6,9.3,13,986.5,0.373,0.02,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T01:00,-3.6,60,0.0,0.0,3,8.1,21,987.4,0.373,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T02:00,-4.0,59,0.0,0.0,3,7.0,21,987.9,0.373,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T03:00,-4.4,60,0.0,0.0,2,5.8,22,987.5,0.373,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T04:00,-5.0,61,0.0,0.0,1,4.8,27,987.1,0.372,0.0,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T05:00,-5.2,61,0.0,0.0,1,5.0,21,987.6,0.372,0.0,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T06:00,-5.1,59,0.0,0.0,2,5.2,16,987.6,0.372,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T07:00,-5.8,58,0.0,0.0,1,4.8,13,987.5,0.372,0.02,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T08:00,-5.0,53,0.0,0.0,0,4.5,14,988.0,0.372,0.01,49.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T09:00,-3.6,47,0.0,0.0,0,5.4,20,988.9,0.372,0.04,153.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T10:00,-2.8,43,0.0,0.0,15,5.4,20,989.1,0.372,0.07,241.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T11:00,-2.2,41,0.0,0.0,93,4.8,27,989.0,0.371,0.08,288.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T12:00,-1.9,40,0.0,0.0,100,4.3,42,988.2,0.371,0.08,263.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T13:00,-1.9,41,0.0,0.0,100,4.5,61,987.7,0.371,0.06,195.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T14:00,-2.1,42,0.0,0.0,100,4.3,66,988.0,0.371,0.04,122.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T15:00,-2.6,44,0.0,0.0,99,4.9,73,987.9,0.371,0.02,40.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T16:00,-2.9,45,0.0,0.0,99,5.1,94,987.8,0.371,0.03,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T17:00,-3.3,46,0.0,0.0,97,4.7,90,987.1,0.371,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T18:00,-3.5,47,0.0,0.0,86,4.5,76,987.2,0.371,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T19:00,-3.0,46,0.0,0.0,28,4.3,66,987.3,0.37,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T20:00,-3.1,46,0.0,0.0,2,4.0,63,987.0,0.37,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T21:00,-3.1,45,0.0,0.0,0,3.4,72,987.1,0.37,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T22:00,-3.1,45,0.0,0.0,0,0.5,45,986.7,0.37,0.0,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-01T23:00,-3.2,46,0.0,0.0,0,1.5,194,986.7,0.37,0.0,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T00:00,-3.2,46,0.0,0.0,0,3.1,225,986.2,0.37,0.0,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T01:00,-3.4,46,0.0,0.0,0,5.1,225,985.9,0.37,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T02:00,-4.2,49,0.0,0.0,0,6.1,225,984.9,0.37,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T03:00,-5.5,54,0.0,0.0,0,8.2,229,984.0,0.37,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T04:00,-5.4,55,0.0,0.0,0,8.3,236,983.2,0.37,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T05:00,-4.5,52,0.0,0.0,27,8.2,241,982.8,0.37,0.02,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T06:00,-3.7,48,0.0,0.0,99,9.5,233,982.0,0.369,0.02,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T07:00,-3.7,46,0.0,0.0,99,11.1,234,980.8,0.369,0.04,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T08:00,-2.6,45,0.0,0.0,100,11.3,243,981.1,0.37,0.04,29.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T09:00,-1.3,43,0.1,0.07,100,13.7,240,980.4,0.37,0.06,113.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T10:00,0.1,41,0.2,0.07,99,19.4,248,979.3,0.37,0.09,119.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T11:00,1.2,37,0.4,0.21,100,20.3,247,978.7,0.369,0.1,112.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T12:00,1.8,35,0.0,0.0,100,20.5,248,977.0,0.369,0.11,131.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T13:00,2.3,33,0.0,0.0,100,21.2,249,975.8,0.369,0.11,79.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T14:00,2.2,33,0.0,0.0,100,22.4,251,974.6,0.369,0.1,74.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T15:00,1.9,31,0.0,0.0,99,22.8,254,972.7,0.369,0.1,28.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T16:00,1.9,29,0.0,0.0,94,23.8,255,971.8,0.369,0.1,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T17:00,2.4,28,0.0,0.0,97,26.2,254,970.0,0.369,0.1,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T18:00,3.0,27,0.0,0.0,99,28.1,257,968.5,0.369,0.11,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T19:00,3.2,32,0.0,0.0,99,29.8,262,967.6,0.369,0.1,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T20:00,3.4,39,0.0,0.0,100,32.1,267,966.9,0.369,0.1,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T21:00,3.0,51,0.1,0.07,100,34.6,270,966.9,0.369,0.08,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T22:00,2.2,64,0.5,0.35,100,34.9,269,966.2,0.369,0.05,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-02T23:00,1.4,76,0.5,0.35,100,33.2,267,966.4,0.369,0.03,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T00:00,1.1,80,0.6,0.42,100,30.3,266,966.2,0.369,0.02,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T01:00,0.7,82,0.8,0.56,100,28.9,264,965.4,0.368,0.02,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T02:00,0.7,83,0.8,0.56,100,27.6,263,965.3,0.368,0.02,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T03:00,0.7,84,0.7,0.42,100,26.4,264,964.6,0.368,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T04:00,0.7,85,0.5,0.28,100,24.7,262,963.9,0.368,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T05:00,0.8,86,0.4,0.21,100,23.7,261,963.1,0.368,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T06:00,1.0,86,0.2,0.07,99,22.5,263,962.9,0.368,0.01,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T07:00,1.2,86,0.3,0.14,91,22.4,264,963.2,0.368,0.02,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T08:00,1.5,85,0.1,0.0,80,22.8,265,963.1,0.368,0.03,15.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T09:00,2.2,82,0.1,0.0,93,23.5,265,963.0,0.368,0.04,79.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T10:00,2.8,79,0.0,0.0,98,24.5,267,963.1,0.368,0.05,92.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T11:00,3.1,78,0.1,0.0,94,26.3,268,962.9,0.369,0.06,124.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T12:00,3.3,78,0.1,0.0,51,26.3,270,962.0,0.369,0.07,172.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T13:00,3.4,77,0.0,0.0,55,26.7,275,961.5,0.37,0.07,179.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T14:00,3.2,76,0.1,0.0,60,26.0,275,961.5,0.37,0.05,109.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T15:00,2.5,79,0.1,0.0,67,24.9,273,961.4,0.37,0.04,24.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T16:00,2.0,83,0.1,0.0,85,24.1,272,961.8,0.37,0.03,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T17:00,1.9,83,0.1,0.0,80,24.1,272,961.5,0.371,0.02,0.0
35,Central Anduin,Anduin Vales,48.37,15.43,1950-01-03T18:00,1.8,83,0.1,0.07,87,23.4,273,961.7,0.371,0.02,0.0
