region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T00:00,-10.6,81,0.0,0.0,48,14.3,18,984.1,0.383,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T01:00,-10.8,81,0.0,0.0,38,12.3,21,984.8,0.383,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T02:00,-11.3,81,0.0,0.0,27,10.2,23,985.5,0.383,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T03:00,-11.7,82,0.0,0.0,19,10.2,23,984.8,0.383,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T04:00,-11.8,81,0.0,0.0,14,11.0,23,984.6,0.382,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T05:00,-12.3,82,0.0,0.0,13,10.6,24,985.0,0.382,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T06:00,-12.8,83,0.0,0.0,15,10.5,31,984.8,0.382,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T07:00,-13.3,83,0.0,0.0,10,9.6,34,984.8,0.382,0.0,1.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T08:00,-13.5,82,0.0,0.0,17,9.1,34,985.3,0.382,0.01,54.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T09:00,-12.6,80,0.0,0.0,4,6.9,28,986.5,0.382,0.02,151.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T10:00,-10.8,77,0.0,0.0,1,7.9,24,986.2,0.381,0.03,220.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T11:00,-9.5,75,0.0,0.0,11,7.8,22,986.2,0.381,0.05,266.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T12:00,-8.8,74,0.0,0.0,16,7.4,23,985.8,0.381,0.05,261.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T13:00,-8.6,74,0.0,0.0,25,6.0,25,985.5,0.381,0.04,214.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T14:00,-9.3,77,0.0,0.0,51,6.1,40,985.5,0.381,0.02,123.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T15:00,-10.7,79,0.0,0.0,92,5.4,53,985.0,0.381,0.0,26.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T16:00,-10.3,76,0.0,0.0,100,4.4,81,985.2,0.38,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T17:00,-10.0,75,0.0,0.0,98,3.9,112,984.4,0.38,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T18:00,-10.3,75,0.0,0.0,96,4.6,135,983.9,0.38,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T19:00,-12.8,77,0.0,0.0,67,4.4,145,983.6,0.38,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T20:00,-15.7,81,0.0,0.0,46,6.2,159,982.6,0.38,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T21:00,-16.7,81,0.0,0.0,39,7.8,167,982.2,0.38,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T22:00,-16.1,78,0.0,0.0,34,6.5,177,981.6,0.38,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-01T23:00,-14.9,76,0.0,0.0,28,7.9,180,981.7,0.379,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T00:00,-14.3,74,0.0,0.0,5,10.1,180,981.7,0.379,0.0,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T01:00,-13.5,72,0.0,0.0,25,10.8,182,981.3,0.379,0.01,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T02:00,-12.8,72,0.0,0.0,94,11.9,183,980.7,0.379,0.01,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T03:00,-12.0,71,0.0,0.0,70,13.3,183,979.7,0.379,0.01,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T04:00,-11.4,70,0.0,0.0,95,13.8,189,978.9,0.379,0.01,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T05:00,-10.5,69,0.0,0.0,99,14.5,194,979.3,0.379,0.01,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T06:00,-9.7,68,0.0,0.0,100,14.3,192,978.3,0.379,0.01,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T07:00,-8.9,67,0.0,0.0,100,14.1,193,977.8,0.378,0.02,0.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T08:00,-8.0,65,0.1,0.07,100,16.3,202,977.3,0.378,0.02,37.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T09:00,-7.0,63,0.0,0.0,100,18.8,206,976.3,0.378,0.04,77.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T10:00,-6.1,62,0.0,0.0,100,20.4,212,974.5,0.378,0.04,82.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T11:00,-5.6,64,0.1,0.07,100,19.8,209,974.3,0.378,0.04,93.0
37,Woodmen,Woodmen,49.55,18.2,1950-01-02T12:00,-5.1,66,0.2,0.14,100,19.3,204,972.3,0.378,0.04,68.0
