region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T00:00,-7.0,59,0.0,0.0,6,14.6,9,991.7,0.361,0.02,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T01:00,-6.8,59,0.0,0.0,7,13.6,12,992.5,0.361,0.02,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T02:00,-7.1,58,0.0,0.0,9,13.6,12,993.2,0.36,0.02,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T03:00,-7.2,58,0.0,0.0,3,13.3,13,992.5,0.36,0.02,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T04:00,-7.4,58,0.0,0.0,4,12.8,11,992.2,0.36,0.02,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T05:00,-7.5,57,0.0,0.0,4,12.5,12,992.7,0.36,0.02,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T06:00,-7.6,57,0.0,0.0,2,11.4,11,992.5,0.36,0.02,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T07:00,-7.7,56,0.0,0.0,3,11.3,7,992.7,0.359,0.03,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T08:00,-7.3,56,0.0,0.0,2,12.0,7,993.3,0.359,0.02,48.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T09:00,-6.2,53,0.0,0.0,1,12.1,10,994.3,0.359,0.04,147.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T10:00,-5.2,51,0.0,0.0,29,11.3,7,994.2,0.359,0.06,228.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T11:00,-4.3,49,0.0,0.0,99,10.5,8,994.2,0.359,0.07,270.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T12:00,-3.8,49,0.0,0.0,100,9.5,9,993.6,0.358,0.07,244.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T13:00,-3.6,49,0.0,0.0,100,8.6,15,993.2,0.358,0.06,179.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T14:00,-3.8,50,0.0,0.0,100,7.0,21,993.3,0.358,0.04,101.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T15:00,-4.2,53,0.0,0.0,100,5.2,25,993.0,0.358,0.02,25.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T16:00,-4.5,54,0.0,0.0,100,5.6,45,993.2,0.358,0.01,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T17:00,-5.0,56,0.0,0.0,100,4.1,75,992.5,0.357,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T18:00,-4.8,56,0.0,0.0,95,1.3,124,992.4,0.357,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T19:00,-4.3,55,0.0,0.0,0,1.5,256,992.8,0.357,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T20:00,-4.3,55,0.0,0.0,0,2.3,231,992.4,0.357,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T21:00,-5.0,58,0.0,0.0,0,3.9,202,992.2,0.357,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T22:00,-6.1,64,0.0,0.0,0,4.6,225,991.5,0.357,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-01T23:00,-6.2,65,0.0,0.0,0,4.7,212,991.4,0.357,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T00:00,-6.3,65,0.0,0.0,0,5.5,203,991.1,0.357,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T01:00,-6.9,69,0.0,0.0,39,6.2,201,990.6,0.357,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T02:00,-7.0,69,0.0,0.0,1,7.2,198,989.8,0.356,0.0,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T03:00,-6.8,67,0.0,0.0,14,8.8,199,988.8,0.356,0.01,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T04:00,-6.6,65,0.0,0.0,82,9.8,204,988.0,0.356,0.01,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T05:00,-6.1,62,0.0,0.0,100,9.9,199,988.1,0.356,0.01,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T06:00,-5.5,58,0.0,0.0,100,12.4,188,986.8,0.356,0.02,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T07:00,-5.6,57,0.1,0.07,100,10.4,200,986.5,0.356,0.03,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T08:00,-5.3,56,0.1,0.07,100,12.2,199,986.1,0.356,0.03,32.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T09:00,-4.4,53,0.1,0.07,100,13.9,201,985.1,0.356,0.04,58.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T10:00,-3.6,51,0.0,0.0,100,13.9,211,982.9,0.356,0.05,37.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T11:00,-3.2,51,0.1,0.07,100,13.4,204,982.4,0.355,0.05,68.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T12:00,-2.6,50,0.0,0.0,100,14.1,199,980.2,0.355,0.06,96.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T13:00,-2.0,48,0.0,0.0,100,14.8,198,978.7,0.355,0.06,71.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T14:00,-1.8,49,0.0,0.0,99,13.9,201,977.4,0.355,0.05,55.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T15:00,-1.6,48,0.0,0.0,99,12.0,201,975.9,0.355,0.04,13.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T16:00,-1.4,47,0.0,0.0,100,11.2,201,974.6,0.355,0.03,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T17:00,-1.0,45,0.0,0.0,100,10.0,210,973.2,0.355,0.03,0.0
38,Nan Anduin,Anduin Vales,49.2,17.0,1950-01-02T18:00,-0.5,44,0.1,0.07,100,9.4,220,971.8,0.355,0.03,0.0
