region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T00:00,-6.2,35,0.0,0.0,2,1.6,27,793.8,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T01:00,-7.2,39,0.0,0.0,4,0.7,360,793.8,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T02:00,-7.6,41,0.0,0.0,6,1.1,342,793.8,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T03:00,-8.1,43,0.0,0.0,6,2.5,352,793.5,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T04:00,-8.7,45,0.0,0.0,5,2.4,333,792.1,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T05:00,-9.1,46,0.0,0.0,4,1.9,338,792.2,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T06:00,-9.5,46,0.0,0.0,6,2.3,342,792.4,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T07:00,-9.3,44,0.0,0.0,6,2.7,337,793.5,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T08:00,-9.2,45,0.0,0.0,14,2.6,344,794.5,0.433,0.0,23.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T09:00,-8.7,44,0.0,0.0,20,2.6,344,795.7,0.433,0.03,121.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T10:00,-8.3,45,0.0,0.0,20,2.7,337,796.6,0.433,0.05,223.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T11:00,-7.9,47,0.0,0.0,16,3.7,331,797.2,0.433,0.07,294.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T12:00,-7.4,48,0.0,0.0,20,4.8,333,796.7,0.433,0.08,309.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T13:00,-7.1,47,0.0,0.0,9,5.5,328,796.5,0.433,0.08,297.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T14:00,-7.2,45,0.0,0.0,53,5.8,330,795.4,0.433,0.06,218.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T15:00,-7.4,40,0.0,0.0,38,6.4,333,795.8,0.433,0.04,115.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T16:00,-7.4,34,0.0,0.0,7,6.8,335,795.6,0.433,0.02,20.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T17:00,-7.8,29,0.0,0.0,5,7.9,336,795.6,0.433,0.02,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T18:00,-8.0,27,0.0,0.0,2,8.0,333,796.1,0.433,0.02,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T19:00,-8.4,25,0.0,0.0,1,8.4,335,795.9,0.433,0.02,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T20:00,-8.2,24,0.0,0.0,2,8.4,335,796.7,0.433,0.02,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T21:00,-8.2,23,0.0,0.0,3,8.4,335,797.3,0.433,0.02,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T22:00,-8.2,23,0.0,0.0,3,10.1,333,799.0,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-01T23:00,-8.1,24,0.0,0.0,3,10.6,336,798.0,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T00:00,-8.0,25,0.0,0.0,0,10.3,335,797.0,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T01:00,-7.9,25,0.0,0.0,0,10.3,335,797.0,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T02:00,-7.7,25,0.0,0.0,0,10.3,335,796.7,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T03:00,-7.6,25,0.0,0.0,1,10.8,334,797.1,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T04:00,-7.7,26,0.0,0.0,25,10.5,333,797.0,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T05:00,-7.7,26,0.0,0.0,19,10.3,335,796.7,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T06:00,-7.7,27,0.0,0.0,44,10.0,334,796.3,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T07:00,-8.3,27,0.0,0.0,94,9.3,332,795.3,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T08:00,-7.7,27,0.0,0.0,91,9.3,332,796.1,0.433,0.03,20.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T09:00,-7.1,26,0.0,0.0,85,9.0,331,796.4,0.433,0.05,116.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T10:00,-6.0,27,0.0,0.0,8,8.9,328,796.9,0.433,0.07,216.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T11:00,-4.8,27,0.0,0.0,0,9.2,329,797.1,0.433,0.1,304.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T12:00,-3.9,26,0.0,0.0,4,9.7,329,797.5,0.433,0.11,341.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T13:00,-3.4,25,0.0,0.0,69,10.3,331,797.3,0.433,0.11,334.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T14:00,-3.3,25,0.0,0.0,73,10.8,330,797.4,0.433,0.09,253.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T15:00,-3.3,25,0.0,0.0,80,11.0,328,797.4,0.433,0.06,133.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T16:00,-3.6,27,0.0,0.0,94,11.0,328,796.9,0.433,0.04,24.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T17:00,-3.6,29,0.0,0.0,87,11.8,329,797.0,0.433,0.04,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T18:00,-3.8,31,0.0,0.0,15,11.8,329,796.9,0.433,0.04,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T19:00,-4.9,34,0.0,0.0,60,11.7,326,795.9,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T20:00,-5.1,37,0.0,0.0,55,11.7,326,795.3,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T21:00,-5.6,41,0.1,0.07,99,12.2,326,794.3,0.433,0.03,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T22:00,-6.0,46,0.2,0.14,98,10.2,321,794.8,0.433,0.02,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-02T23:00,-6.6,61,0.5,0.35,100,8.9,320,793.8,0.433,0.01,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T00:00,-7.0,78,0.7,0.49,100,8.7,318,793.5,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T01:00,-7.1,88,0.9,0.63,100,8.2,319,791.9,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T02:00,-7.1,91,1.2,0.84,100,7.9,321,791.3,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T03:00,-7.4,93,1.7,1.19,100,8.8,325,790.0,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T04:00,-7.7,94,2.0,1.4,100,8.1,328,788.9,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T05:00,-7.8,95,2.4,1.68,100,7.1,330,788.6,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T06:00,-8.0,95,2.7,1.89,100,7.1,330,788.4,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T07:00,-7.5,95,1.9,1.33,100,7.4,331,788.8,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T08:00,-7.6,95,1.9,1.33,100,7.1,330,788.7,0.433,0.01,8.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T09:00,-7.6,94,1.8,1.26,100,7.4,331,789.0,0.433,0.01,40.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T10:00,-7.5,94,1.6,1.12,100,7.7,332,788.8,0.433,0.02,74.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T11:00,-7.4,94,1.5,1.05,100,7.7,332,789.4,0.433,0.03,107.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T12:00,-7.4,94,1.3,0.91,100,6.9,332,788.8,0.433,0.03,119.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T13:00,-7.2,94,0.9,0.63,100,6.9,332,788.5,0.433,0.02,79.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T14:00,-7.1,94,0.7,0.49,100,6.9,332,788.3,0.433,0.03,103.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T15:00,-7.2,94,0.7,0.49,100,6.4,333,788.3,0.433,0.02,60.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T16:00,-7.4,94,0.9,0.63,100,6.3,336,787.9,0.433,0.0,13.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T17:00,-7.5,94,1.1,0.77,100,6.3,336,787.8,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T18:00,-7.5,94,1.2,0.84,100,6.3,336,787.6,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T19:00,-7.2,94,1.3,0.91,100,6.0,335,787.6,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T20:00,-7.4,93,1.3,0.91,100,6.0,335,787.2,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T21:00,-7.5,93,1.3,0.91,100,6.0,335,786.4,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T22:00,-7.7,93,1.4,0.98,100,7.0,339,785.7,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-03T23:00,-7.7,93,1.6,1.12,100,7.4,337,785.7,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T00:00,-7.6,94,1.6,1.12,100,8.2,337,785.9,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T01:00,-7.4,94,1.4,0.98,100,8.2,337,785.7,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T02:00,-7.1,94,1.3,0.91,100,8.6,338,785.7,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T03:00,-7.0,94,1.4,0.98,100,8.8,341,785.7,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T04:00,-6.8,94,1.4,0.98,100,9.1,342,785.5,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T05:00,-6.9,94,1.2,0.84,100,8.8,341,785.6,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T06:00,-6.9,94,1.1,0.77,100,8.9,339,785.4,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T07:00,-7.4,94,0.9,0.63,100,8.4,340,785.3,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T08:00,-7.3,93,1.0,0.7,100,8.8,341,785.8,0.433,0.01,8.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T09:00,-7.1,93,1.0,0.7,100,8.4,340,786.1,0.433,0.01,46.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T10:00,-6.8,93,1.2,0.84,100,9.1,342,785.8,0.433,0.02,69.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T11:00,-6.7,93,1.2,0.84,100,9.4,337,786.2,0.433,0.03,87.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T12:00,-6.6,93,1.2,0.84,100,9.7,338,785.8,0.433,0.03,95.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T13:00,-6.5,93,1.3,0.91,100,9.8,336,786.2,0.433,0.02,80.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T14:00,-6.4,93,1.3,0.91,100,9.5,335,786.5,0.433,0.03,98.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T15:00,-6.6,93,1.3,0.91,100,9.5,335,786.9,0.433,0.02,46.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T16:00,-6.6,93,1.3,0.91,100,8.9,333,786.5,0.433,0.01,9.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T17:00,-6.6,93,1.5,1.05,100,8.9,333,787.2,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T18:00,-6.6,93,1.7,1.19,100,8.9,333,787.0,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T19:00,-6.3,94,1.9,1.33,100,8.4,335,787.8,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T20:00,-6.2,93,1.9,1.33,100,7.6,335,788.0,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T21:00,-6.0,94,1.8,1.26,100,7.2,333,788.1,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T22:00,-5.9,94,1.7,1.19,100,6.4,333,789.0,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-04T23:00,-5.7,94,1.7,1.19,100,7.4,331,789.1,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T00:00,-5.5,94,1.6,1.12,100,7.1,330,789.0,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T01:00,-5.4,94,1.3,0.91,100,7.3,327,788.5,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T02:00,-5.2,94,0.8,0.56,100,7.9,330,788.7,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T03:00,-5.0,94,0.5,0.35,99,8.5,332,788.9,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T04:00,-4.9,95,0.2,0.14,99,9.2,334,788.8,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T05:00,-4.8,95,0.1,0.07,99,8.9,333,788.7,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T06:00,-4.8,96,0.1,0.07,99,8.4,335,788.8,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T07:00,-5.1,96,0.1,0.07,100,7.2,333,789.7,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T08:00,-5.0,95,0.1,0.07,99,7.2,333,790.0,0.433,0.0,16.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T09:00,-4.9,94,0.1,0.07,94,6.9,332,790.8,0.433,0.02,90.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T10:00,-4.6,93,0.1,0.07,82,7.3,327,790.5,0.433,0.04,187.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T11:00,-4.1,89,0.0,0.0,74,5.4,323,790.8,0.433,0.07,274.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T12:00,-4.1,86,0.0,0.0,58,8.2,322,791.6,0.433,0.09,360.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T13:00,-4.2,86,0.0,0.0,24,8.2,322,790.9,0.433,0.08,342.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T14:00,-4.3,85,0.0,0.0,13,8.8,325,790.8,0.433,0.06,278.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T15:00,-4.7,87,0.0,0.0,7,8.9,328,791.3,0.433,0.03,158.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T16:00,-4.6,89,0.0,0.0,35,8.9,328,791.3,0.433,0.0,32.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T17:00,-4.7,92,0.0,0.0,50,9.1,326,791.4,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T18:00,-5.1,93,0.0,0.0,39,9.1,326,790.6,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T19:00,-5.8,92,0.0,0.0,26,9.1,326,790.2,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T20:00,-6.2,92,0.0,0.0,9,9.3,324,789.7,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T21:00,-6.5,90,0.0,0.0,4,9.6,326,789.0,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T22:00,-6.6,88,0.0,0.0,39,8.7,322,789.3,0.433,0.0,0.0
39,Central Misty Mountains,Misty Mountains,46.55,8.57,1950-01-05T23:00,-6.9,85,0.0,0.0,66,8.7,322,788.2,0.433,0.0,0.0
