region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T00:00,-7.5,71,0.0,0.0,20,10.0,30,986.8,0.385,0.01,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T01:00,-6.3,76,0.0,0.0,17,8.8,35,987.5,0.384,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T02:00,-6.6,76,0.0,0.0,16,7.7,37,988.3,0.384,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T03:00,-6.9,75,0.0,0.0,11,6.9,43,987.6,0.384,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T04:00,-7.2,75,0.0,0.0,7,5.1,51,987.2,0.383,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T05:00,-7.6,76,0.0,0.0,3,3.9,56,987.6,0.383,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T06:00,-7.8,76,0.0,0.0,1,3.6,84,987.2,0.383,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T07:00,-7.3,72,0.0,0.0,47,2.2,99,987.4,0.383,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T08:00,-7.7,75,0.0,0.0,100,2.2,90,987.8,0.383,0.0,25.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T09:00,-6.8,70,0.0,0.0,99,2.1,121,988.6,0.382,0.02,101.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T10:00,-5.5,64,0.0,0.0,100,2.6,164,988.2,0.382,0.04,152.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T11:00,-4.6,58,0.0,0.0,100,2.7,203,988.3,0.382,0.05,163.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T12:00,-4.0,56,0.0,0.0,100,3.1,225,987.9,0.382,0.05,152.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T13:00,-3.7,56,0.0,0.0,99,4.5,194,987.2,0.382,0.04,125.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T14:00,-3.7,59,0.0,0.0,99,6.8,180,986.5,0.381,0.03,70.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T15:00,-4.1,63,0.0,0.0,98,6.5,186,986.4,0.381,0.02,22.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T16:00,-4.5,66,0.0,0.0,53,5.4,188,986.4,0.381,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T17:00,-4.9,69,0.0,0.0,5,6.5,186,986.1,0.381,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T18:00,-5.4,71,0.0,0.0,0,6.8,183,985.9,0.381,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T19:00,-5.9,74,0.0,0.0,0,7.2,177,985.7,0.38,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T20:00,-6.2,73,0.0,0.0,0,9.0,175,984.8,0.38,0.01,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T21:00,-6.4,71,0.0,0.0,0,9.4,176,984.5,0.38,0.01,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T22:00,-6.4,69,0.0,0.0,40,10.4,180,984.1,0.38,0.01,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-01T23:00,-6.5,68,0.0,0.0,96,10.8,176,983.8,0.38,0.01,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T00:00,-6.5,66,0.0,0.0,91,11.6,175,982.9,0.38,0.01,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T01:00,-6.6,64,0.0,0.0,100,11.2,176,982.5,0.379,0.01,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T02:00,-6.0,61,0.0,0.0,100,10.8,178,981.7,0.379,0.01,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T03:00,-5.8,60,0.0,0.0,100,11.2,180,980.2,0.379,0.02,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T04:00,-5.3,59,0.0,0.0,100,11.9,183,979.0,0.379,0.02,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T05:00,-4.6,57,0.0,0.0,100,12.4,188,978.7,0.379,0.02,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T06:00,-4.1,56,0.0,0.0,100,12.6,185,977.4,0.379,0.02,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T07:00,-4.4,56,0.1,0.07,100,13.4,185,976.8,0.378,0.02,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T08:00,-3.9,54,0.1,0.07,100,13.8,187,976.2,0.378,0.04,4.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T09:00,-3.0,50,0.0,0.0,100,13.0,194,975.8,0.378,0.05,26.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T10:00,-2.2,49,0.0,0.0,100,11.6,206,973.6,0.378,0.05,48.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T11:00,-1.7,50,0.2,0.14,100,11.3,211,972.9,0.378,0.05,52.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T12:00,-1.0,49,0.3,0.21,100,10.8,217,971.5,0.378,0.06,60.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T13:00,-0.8,52,0.6,0.42,100,11.3,217,970.0,0.378,0.05,37.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T14:00,-1.1,61,1.1,0.77,100,10.4,226,969.5,0.377,0.04,22.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T15:00,-1.5,72,1.7,1.19,100,9.7,225,968.1,0.377,0.03,4.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T16:00,-1.8,85,1.7,1.19,100,10.2,222,967.0,0.377,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T17:00,-1.5,91,1.4,0.98,100,10.7,237,966.0,0.377,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T18:00,-1.1,93,1.4,0.98,100,11.1,245,964.9,0.377,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T19:00,-1.0,94,1.5,1.05,100,11.9,256,964.2,0.377,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T20:00,-0.6,94,1.0,0.7,100,13.0,265,963.7,0.377,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T21:00,-0.2,95,0.7,0.49,100,13.7,273,962.9,0.377,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T22:00,0.2,95,0.6,0.42,100,14.1,274,961.9,0.376,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-02T23:00,0.5,96,0.7,0.49,100,15.2,277,961.5,0.376,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-03T00:00,0.7,96,1.1,0.77,100,16.4,279,960.8,0.376,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-03T01:00,0.6,96,0.9,0.63,96,17.8,284,960.1,0.376,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-03T02:00,0.8,96,0.7,0.49,95,19.6,290,960.2,0.376,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-03T03:00,0.8,96,0.4,0.28,100,20.1,297,959.8,0.376,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-03T04:00,0.9,95,0.3,0.21,100,19.8,297,959.1,0.376,0.0,0.0
43,Trollshaws,Rhudaur,50.77,15.05,1950-01-03T05:00,1.0,95,0.2,0.14,100,19.8,295,958.5,0.376,0.0,0.0
