region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T00:00,2.2,94,0.0,0.0,93,9.0,209,961.7,0.391,0.0,0.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T01:00,3.8,97,0.0,0.0,97,9.2,222,962.3,0.391,0.0,0.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T02:00,4.1,96,0.0,0.0,98,10.2,225,963.1,0.391,0.0,0.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T03:00,4.1,97,0.0,0.0,100,11.0,218,962.4,0.39,0.0,0.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T04:00,4.2,97,0.0,0.0,100,12.0,221,961.7,0.39,0.0,0.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T05:00,4.4,97,0.0,0.0,100,12.5,226,962.1,0.39,0.0,0.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T06:00,4.5,98,0.0,0.0,100,13.7,225,961.5,0.39,0.0,0.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T07:00,4.6,97,0.0,0.0,100,14.0,224,961.5,0.391,0.0,0.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T08:00,4.8,95,0.0,0.0,99,15.0,224,961.1,0.391,0.0,0.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T09:00,4.9,95,0.0,0.0,100,16.8,227,961.5,0.391,0.01,1.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T10:00,5.2,94,0.0,0.0,100,20.8,233,961.3,0.391,0.02,17.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T11:00,5.7,92,0.0,0.0,97,20.9,234,961.3,0.391,0.02,42.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T12:00,6.0,92,0.0,0.0,83,24.0,237,961.0,0.391,0.03,70.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T13:00,6.5,88,0.0,0.0,96,24.9,239,960.1,0.39,0.04,85.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T14:00,6.7,89,0.0,0.0,99,23.2,237,960.3,0.39,0.03,65.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T15:00,6.7,91,0.0,0.0,100,22.5,235,960.0,0.39,0.03,28.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T16:00,6.6,93,0.0,0.0,99,20.5,236,960.2,0.39,0.02,4.0
44,Ettenmoors,Rhudaur,54.8,-2.3,1950-01-01T17:00,6.7,94,0.0,0.0,100,19.3,237,960.1,0.39,0.0,0.0
