region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
63,Wold,Rohan,44.2,28.6,1950-01-01T00:00,-2.3,72,0.0,0.0,100,27.4,358,1014.4,0.272,0.03,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T01:00,-0.4,66,0.0,0.0,100,26.6,1,1016.7,0.272,0.04,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T02:00,-1.0,65,0.0,0.0,73,25.2,359,1017.0,0.272,0.04,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T03:00,-1.3,65,0.0,0.0,40,23.4,359,1018.1,0.272,0.03,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T04:00,-1.8,65,0.0,0.0,32,23.1,2,1019.0,0.272,0.03,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T05:00,-2.3,62,0.0,0.0,21,22.4,5,1020.3,0.271,0.03,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T06:00,-3.1,60,0.0,0.0,19,21.3,5,1021.2,0.271,0.04,1.0
63,Wold,Rohan,44.2,28.6,1950-01-01T07:00,-4.2,55,0.0,0.0,25,21.4,7,1021.9,0.271,0.04,61.0
63,Wold,Rohan,44.2,28.6,1950-01-01T08:00,-4.3,53,0.0,0.0,29,21.4,7,1022.9,0.271,0.06,174.0
63,Wold,Rohan,44.2,28.6,1950-01-01T09:00,-4.0,51,0.0,0.0,22,19.9,6,1023.1,0.27,0.08,258.0
63,Wold,Rohan,44.2,28.6,1950-01-01T10:00,-3.6,49,0.0,0.0,4,19.3,9,1023.7,0.27,0.09,292.0
63,Wold,Rohan,44.2,28.6,1950-01-01T11:00,-3.1,47,0.0,0.0,3,18.1,6,1022.8,0.27,0.09,304.0
63,Wold,Rohan,44.2,28.6,1950-01-01T12:00,-2.9,46,0.0,0.0,4,16.9,1,1023.4,0.269,0.09,267.0
63,Wold,Rohan,44.2,28.6,1950-01-01T13:00,-2.6,44,0.0,0.0,3,16.2,357,1023.7,0.269,0.08,197.0
63,Wold,Rohan,44.2,28.6,1950-01-01T14:00,-2.8,44,0.0,0.0,5,15.3,352,1024.6,0.268,0.06,94.0
63,Wold,Rohan,44.2,28.6,1950-01-01T15:00,-3.5,50,0.0,0.0,7,14.3,348,1024.3,0.268,0.03,10.0
63,Wold,Rohan,44.2,28.6,1950-01-01T16:00,-3.8,52,0.0,0.0,32,14.8,346,1025.0,0.268,0.03,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T17:00,-4.2,53,0.0,0.0,49,14.3,342,1024.9,0.268,0.03,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T18:00,-4.6,54,0.0,0.0,35,13.5,344,1025.2,0.268,0.03,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T19:00,-4.8,58,0.0,0.0,1,12.5,342,1025.3,0.268,0.02,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T20:00,-5.2,60,0.0,0.0,0,12.6,336,1025.4,0.268,0.02,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T21:00,-5.5,61,0.0,0.0,0,12.9,330,1025.6,0.268,0.02,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T22:00,-5.8,61,0.0,0.0,0,13.3,319,1026.3,0.268,0.02,0.0
63,Wold,Rohan,44.2,28.6,1950-01-01T23:00,-6.1,62,0.0,0.0,0,15.0,318,1026.2,0.268,0.02,0.0
63,Wold,Rohan,44.2,28.6,1950-01-02T00:00,-6.2,63,0.0,0.0,0,15.1,320,1026.5,0.268,0.02,0.0
