region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T00:00,-16.9,86,0.0,0.0,52,7.6,65,1013.2,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T01:00,-19.1,83,0.0,0.0,44,6.1,62,1013.4,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T02:00,-19.5,83,0.0,0.0,80,5.3,62,1012.8,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T03:00,-19.6,82,0.0,0.0,92,6.1,62,1013.8,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T04:00,-19.9,82,0.0,0.0,98,6.0,65,1013.0,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T05:00,-20.2,82,0.0,0.0,99,6.0,65,1013.0,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T06:00,-20.9,82,0.0,0.0,99,5.0,69,1012.7,0.216,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T07:00,-21.4,82,0.0,0.0,99,4.7,67,1013.3,0.216,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T08:00,-21.3,82,0.0,0.0,99,7.2,63,1013.2,0.216,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T09:00,-22.1,82,0.0,0.0,100,5.6,63,1013.0,0.216,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T10:00,-22.0,81,0.0,0.0,99,4.3,66,1013.6,0.216,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T11:00,-21.4,81,0.0,0.0,99,4.8,63,1013.3,0.216,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T12:00,-21.8,80,0.0,0.0,99,4.7,58,1013.1,0.216,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T13:00,-22.0,80,0.0,0.0,99,3.1,36,1012.3,0.216,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T14:00,-22.2,79,0.0,0.0,99,3.3,41,1012.3,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T15:00,-22.6,80,0.0,0.0,99,3.9,56,1011.6,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T16:00,-23.2,79,0.0,0.0,99,4.3,66,1011.5,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T17:00,-23.4,79,0.0,0.0,99,4.5,61,1011.0,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T18:00,-23.8,78,0.0,0.0,99,1.5,14,1010.6,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T19:00,-23.8,78,0.0,0.0,99,1.5,315,1010.3,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T20:00,-24.1,78,0.0,0.0,99,2.0,315,1010.1,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T21:00,-24.1,78,0.0,0.0,99,1.9,338,1010.0,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T22:00,-24.2,78,0.0,0.0,100,0.8,297,1008.3,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-01T23:00,-24.1,78,0.0,0.0,100,0.7,360,1008.1,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T00:00,-24.0,78,0.0,0.0,100,1.0,315,1007.6,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T01:00,-23.9,79,0.0,0.0,100,0.4,360,1007.5,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T02:00,-23.7,78,0.0,0.0,100,0.8,27,1006.4,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T03:00,-24.2,79,0.0,0.0,100,1.6,27,1006.7,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T04:00,-24.8,80,0.0,0.0,100,2.5,45,1006.2,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T05:00,-24.2,80,0.0,0.0,100,3.3,49,1005.5,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T06:00,-23.3,80,0.0,0.0,100,3.1,45,1005.1,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T07:00,-24.2,78,0.0,0.0,100,3.1,21,1005.1,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T08:00,-23.7,79,0.0,0.0,100,3.2,27,1004.9,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T09:00,-23.9,79,0.0,0.0,100,3.9,22,1005.1,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T10:00,-23.1,80,0.0,0.0,98,5.5,11,1004.3,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T11:00,-22.7,80,0.0,0.0,95,4.5,14,1004.3,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T12:00,-22.2,80,0.0,0.0,99,2.9,353,1004.5,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T13:00,-21.8,81,0.0,0.0,99,2.1,301,1003.9,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T14:00,-21.4,81,0.0,0.0,100,2.9,300,1003.5,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T15:00,-21.1,81,0.0,0.0,100,4.2,301,1003.3,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T16:00,-20.8,81,0.0,0.0,100,6.1,298,1003.1,0.215,0.0,0.0
67,Talath Uichel,Talath Uichel,68.9,27.01,1950-01-02T17:00,-20.7,81,0.0,0.0,100,6.3,294,1003.3,0.215,0.0,0.0
