region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T00:00,-11.2,39,0.0,0.0,99,1.9,248,806.4,0.328,0.0,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T01:00,-9.7,47,0.1,0.07,97,2.3,252,807.8,0.328,0.0,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T02:00,-10.1,60,0.2,0.14,99,2.4,243,807.0,0.328,0.0,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T03:00,-10.5,74,0.3,0.21,100,2.7,247,806.2,0.328,0.0,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T04:00,-10.5,81,0.2,0.14,100,2.7,247,805.7,0.328,0.0,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T05:00,-10.5,85,0.1,0.07,98,3.1,249,804.4,0.328,0.0,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T06:00,-10.3,88,0.1,0.07,99,3.1,249,804.4,0.328,0.0,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T07:00,-10.8,90,0.0,0.0,98,3.1,249,803.1,0.328,0.0,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T08:00,-10.4,91,0.1,0.07,93,3.1,249,803.5,0.328,0.0,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T09:00,-10.3,92,0.1,0.07,97,3.5,246,803.1,0.328,0.01,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T10:00,-10.4,93,0.1,0.07,99,3.9,248,802.8,0.328,0.0,15.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T11:00,-10.5,93,0.0,0.0,100,3.7,241,801.8,0.328,0.0,40.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T12:00,-10.3,94,0.0,0.0,100,4.0,243,801.1,0.328,0.01,47.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T13:00,-9.9,93,0.1,0.07,100,4.2,239,800.8,0.328,0.01,37.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T14:00,-10.0,94,0.1,0.07,100,4.4,235,799.7,0.328,0.0,13.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T15:00,-10.1,94,0.1,0.07,97,4.4,235,799.6,0.328,0.01,0.0
68,North Misty Mountains,Misty Mountains,61.6,8.3,1950-01-01T16:00,-9.8,94,0.1,0.07,97,4.1,232,798.9,0.328,0.0,0.0
