region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T00:00,3.2,99,0.0,0.0,100,15.1,213,991.6,0.381,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T01:00,3.5,98,0.0,0.0,100,14.9,217,991.9,0.381,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T02:00,3.7,98,0.0,0.0,100,15.4,213,992.4,0.381,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T03:00,3.8,97,0.0,0.0,100,16.3,215,991.6,0.38,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T04:00,3.9,96,0.0,0.0,100,16.8,222,990.9,0.38,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T05:00,4.2,94,0.0,0.0,100,17.6,227,991.4,0.38,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T06:00,4.3,92,0.0,0.0,100,18.1,224,990.5,0.386,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T07:00,4.4,92,0.3,0.0,99,19.2,220,990.3,0.386,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T08:00,4.7,91,0.0,0.0,98,20.7,220,989.9,0.386,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T09:00,5.1,89,0.0,0.0,94,23.0,221,990.0,0.385,0.01,1.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T10:00,5.4,89,0.0,0.0,75,24.5,227,989.8,0.385,0.02,22.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T11:00,5.8,90,0.0,0.0,59,24.4,226,989.5,0.384,0.03,77.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T12:00,6.1,91,0.0,0.0,96,24.4,226,989.6,0.384,0.03,103.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T13:00,6.3,92,0.0,0.0,100,22.9,225,988.4,0.384,0.03,99.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T14:00,6.3,92,0.0,0.0,100,22.2,222,988.4,0.383,0.03,65.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T15:00,6.3,93,0.0,0.0,100,22.4,225,988.4,0.383,0.02,23.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T16:00,6.3,94,0.0,0.0,100,21.7,228,988.5,0.383,0.02,3.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T17:00,6.4,95,0.0,0.0,100,20.7,230,988.4,0.383,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T18:00,6.5,96,0.0,0.0,100,20.5,231,988.1,0.384,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T19:00,7.1,96,0.0,0.0,100,19.1,234,988.1,0.383,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T20:00,7.2,96,0.0,0.0,100,17.6,242,988.2,0.383,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T21:00,7.2,96,0.0,0.0,100,15.3,246,988.4,0.383,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T22:00,6.9,96,0.0,0.0,100,12.9,243,988.0,0.382,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-01T23:00,6.7,97,0.0,0.0,100,13.0,246,987.8,0.382,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T00:00,6.6,97,0.0,0.0,100,14.3,245,987.7,0.382,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T01:00,6.6,97,0.0,0.0,100,14.5,247,987.2,0.381,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T02:00,6.6,98,0.0,0.0,98,14.5,247,987.2,0.381,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T03:00,6.6,98,0.4,0.0,100,12.6,243,985.9,0.381,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T04:00,6.6,99,0.3,0.0,100,11.4,235,984.8,0.382,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T05:00,6.4,99,0.1,0.0,100,11.2,237,984.5,0.384,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T06:00,6.2,97,0.7,0.0,100,9.4,247,983.5,0.385,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T07:00,5.6,99,0.9,0.0,100,7.9,267,983.1,0.385,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T08:00,5.6,99,0.4,0.0,100,6.5,270,982.2,0.385,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T09:00,5.8,98,0.1,0.0,100,5.9,259,982.6,0.385,0.01,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T10:00,5.9,98,0.2,0.0,100,6.2,277,983.0,0.389,0.01,7.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T11:00,6.0,98,0.2,0.0,100,7.6,295,982.9,0.392,0.02,13.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T12:00,6.1,98,0.0,0.0,99,8.7,300,983.5,0.392,0.02,31.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T13:00,6.3,97,0.0,0.0,91,8.9,297,982.8,0.391,0.02,57.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T14:00,6.2,94,0.0,0.0,100,8.8,289,982.8,0.391,0.03,74.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T15:00,6.0,93,0.0,0.0,100,9.6,283,982.7,0.39,0.02,32.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T16:00,5.5,94,0.0,0.0,100,8.7,275,982.7,0.389,0.01,6.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T17:00,5.1,94,0.1,0.0,100,9.7,272,982.8,0.388,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T18:00,4.8,95,0.1,0.0,99,9.7,272,983.0,0.388,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T19:00,4.2,95,0.0,0.0,100,9.0,272,982.7,0.387,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T20:00,3.9,96,0.0,0.0,99,9.1,277,982.7,0.387,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T21:00,3.9,96,0.0,0.0,97,8.1,283,982.9,0.386,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T22:00,3.9,96,0.0,0.0,98,8.1,291,982.6,0.385,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-02T23:00,3.9,96,0.0,0.0,98,8.0,288,982.5,0.385,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T00:00,3.6,96,0.0,0.0,99,8.0,288,982.8,0.385,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T01:00,2.6,97,0.0,0.0,100,7.4,284,982.6,0.384,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T02:00,2.2,98,0.0,0.0,100,6.1,273,982.7,0.384,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T03:00,1.9,98,0.0,0.0,100,5.5,281,982.9,0.383,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T04:00,1.8,99,0.0,0.0,100,4.3,265,982.1,0.383,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T05:00,1.9,99,0.1,0.0,100,4.8,243,981.6,0.383,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T06:00,2.2,99,0.1,0.0,100,5.6,230,981.2,0.387,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T07:00,2.3,98,0.2,0.0,100,6.9,223,980.5,0.391,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T08:00,2.5,98,0.3,0.0,100,7.1,225,979.9,0.399,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T09:00,2.7,98,0.5,0.0,100,5.9,223,980.2,0.408,0.01,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T10:00,2.9,98,0.7,0.0,100,6.4,196,978.9,0.418,0.01,5.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T11:00,3.2,97,0.7,0.0,100,5.6,195,978.7,0.421,0.01,12.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T12:00,3.4,96,0.4,0.0,100,3.9,202,978.2,0.42,0.02,12.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T13:00,3.9,96,0.2,0.0,100,2.9,240,977.4,0.418,0.02,16.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T14:00,5.1,97,0.1,0.0,100,3.6,360,978.0,0.418,0.02,9.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T15:00,6.3,98,0.0,0.0,100,4.8,13,978.6,0.417,0.02,5.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T16:00,7.0,98,0.0,0.0,100,3.7,29,978.9,0.416,0.01,1.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T17:00,7.1,98,0.0,0.0,100,2.1,31,979.4,0.417,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T18:00,7.1,99,0.0,0.0,100,1.1,180,979.2,0.418,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T19:00,4.2,97,0.0,0.0,100,3.6,217,979.2,0.414,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T20:00,4.3,98,0.0,0.0,100,5.7,235,979.0,0.412,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T21:00,4.6,98,0.0,0.0,100,6.0,253,979.1,0.411,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T22:00,5.0,98,0.1,0.0,100,6.6,248,979.0,0.412,0.0,0.0
69,Wilderness of Arnor,Wilderness of Arnor,55.55,-2.8,1950-01-03T23:00,5.5,99,0.1,0.0,100,8.3,252,978.1,0.414,0.0,0.0
