region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
73,Forochel,Forochel,70.66,25.1,1950-01-01T00:00,-14.9,72,0.0,0.0,70,17.1,141,975.7,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T01:00,-15.2,80,0.0,0.0,71,16.5,144,976.0,0.222,0.0,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T02:00,-15.6,80,0.0,0.0,67,16.1,146,975.4,0.222,0.0,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T03:00,-15.9,80,0.0,0.0,66,16.2,143,976.2,0.222,0.0,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T04:00,-16.0,80,0.0,0.0,62,16.6,141,975.2,0.222,0.0,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T05:00,-16.3,80,0.0,0.0,57,17.1,139,975.0,0.222,0.0,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T06:00,-16.8,80,0.0,0.0,57,17.7,141,974.7,0.222,0.0,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T07:00,-15.9,78,0.0,0.0,64,18.2,142,975.5,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T08:00,-15.6,77,0.0,0.0,70,18.0,143,975.3,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T09:00,-15.5,77,0.0,0.0,59,18.1,145,975.5,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T10:00,-15.6,77,0.0,0.0,65,19.0,151,975.5,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T11:00,-15.7,77,0.0,0.0,66,19.2,152,975.1,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T12:00,-15.9,77,0.0,0.0,75,19.3,153,974.9,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T13:00,-15.9,76,0.0,0.0,70,18.8,154,974.0,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T14:00,-16.1,76,0.0,0.0,65,18.8,151,973.8,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T15:00,-16.2,76,0.0,0.0,67,18.6,148,973.0,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T16:00,-16.2,76,0.0,0.0,66,18.4,145,972.9,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T17:00,-16.3,77,0.0,0.0,64,18.9,145,972.4,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T18:00,-16.4,77,0.0,0.0,68,19.4,149,972.1,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T19:00,-16.1,77,0.0,0.0,68,19.2,152,972.0,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T20:00,-16.3,78,0.0,0.0,70,19.0,153,971.9,0.222,0.01,0.0
73,Forochel,Forochel,70.66,25.1,1950-01-01T21:00,-16.6,78,0.0,0.0,66,18.5,151,971.8,0.222,0.01,0.0
