region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
76,Nurn,Nurn,37.5,45.5,1950-01-01T00:00,-3.4,68,0.0,0.0,81,6.2,173,871.5,0.012,0.01,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T01:00,-1.3,59,0.0,0.0,38,4.0,190,872.4,0.012,0.0,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T02:00,-1.3,59,0.0,0.0,16,4.8,193,872.1,0.012,0.01,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T03:00,-1.4,58,0.0,0.0,18,6.6,189,872.0,0.012,0.01,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T04:00,-1.5,56,0.0,0.0,10,7.7,191,872.1,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T05:00,-1.5,54,0.0,0.0,7,8.3,182,872.2,0.012,0.02,25.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T06:00,-1.1,52,0.0,0.0,7,9.4,176,872.1,0.012,0.06,165.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T07:00,-0.7,56,0.0,0.0,0,10.1,174,872.1,0.012,0.09,328.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T08:00,-0.4,55,0.0,0.0,0,9.7,178,871.8,0.012,0.13,452.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T09:00,0.0,53,0.0,0.0,0,8.7,175,871.3,0.012,0.15,520.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T10:00,0.5,52,0.0,0.0,0,11.1,167,869.8,0.012,0.16,522.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T11:00,1.2,50,0.0,0.0,8,12.6,175,869.4,0.012,0.14,458.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T12:00,1.7,49,0.0,0.0,39,13.3,177,869.4,0.012,0.12,337.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T13:00,1.9,49,0.0,0.0,60,13.3,183,870.1,0.012,0.08,178.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T14:00,1.9,51,0.0,0.0,57,13.8,187,869.7,0.012,0.04,32.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T15:00,1.5,55,0.0,0.0,43,14.6,190,870.0,0.012,0.04,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T16:00,1.1,59,0.0,0.0,33,14.3,190,869.7,0.012,0.03,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T17:00,0.6,62,0.0,0.0,40,13.9,190,870.1,0.012,0.03,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T18:00,0.1,66,0.0,0.0,80,14.2,189,870.2,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T19:00,-0.0,69,0.0,0.0,86,14.1,186,870.3,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T20:00,-0.3,69,0.0,0.0,82,14.4,184,870.3,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T21:00,-0.4,68,0.0,0.0,89,14.8,183,869.8,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T22:00,-0.4,68,0.0,0.0,80,16.2,177,869.4,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-01T23:00,-0.4,69,0.0,0.0,79,15.5,179,869.3,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T00:00,-0.5,69,0.0,0.0,58,15.8,179,869.3,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T01:00,-0.6,69,0.0,0.0,37,16.2,181,869.0,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T02:00,-0.7,69,0.0,0.0,9,16.6,182,868.5,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T03:00,-0.8,70,0.0,0.0,1,15.9,184,868.2,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T04:00,-0.9,70,0.0,0.0,0,15.2,187,868.4,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T05:00,-0.8,69,0.0,0.0,12,16.6,181,868.4,0.012,0.03,24.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T06:00,-0.6,68,0.0,0.0,30,18.0,178,868.7,0.012,0.05,157.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T07:00,-0.1,66,0.0,0.0,47,19.1,177,868.9,0.012,0.09,309.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T08:00,0.6,62,0.0,0.0,61,20.0,173,868.6,0.012,0.12,421.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T09:00,1.3,59,0.0,0.0,75,19.4,170,867.6,0.012,0.14,487.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T10:00,2.0,56,0.0,0.0,41,21.0,164,867.4,0.012,0.14,463.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T11:00,2.5,55,0.0,0.0,57,23.2,164,865.9,0.012,0.12,307.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T12:00,2.8,56,0.0,0.0,82,22.4,165,865.6,0.012,0.11,259.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T13:00,2.8,57,0.1,0.07,81,17.7,168,865.5,0.012,0.07,128.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T14:00,2.3,60,0.2,0.14,75,15.0,169,866.0,0.012,0.05,16.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T15:00,1.6,64,0.3,0.21,78,13.4,166,866.0,0.012,0.03,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T16:00,1.0,67,0.2,0.14,76,13.8,165,865.8,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T17:00,0.6,69,0.1,0.07,70,15.2,166,865.7,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T18:00,0.4,70,0.1,0.07,76,16.2,168,865.4,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T19:00,0.7,68,0.0,0.0,81,15.7,169,865.4,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T20:00,0.6,68,0.0,0.0,81,15.3,172,865.0,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T21:00,0.5,69,0.0,0.0,86,14.5,174,864.7,0.012,0.02,0.0
76,Nurn,Nurn,37.5,45.5,1950-01-02T22:00,0.3,71,0.0,0.0,82,13.4,172,865.4,0.012,0.02,0.0
