region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
7,Anorien,Gondor,43.1,12.39,1950-01-01T00:00,4.6,77,0.0,0.0,18,17.8,48,972.7,0.384,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T01:00,2.8,75,0.0,0.0,17,18.6,47,972.7,0.384,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T02:00,2.4,74,0.0,0.0,14,18.6,47,973.1,0.383,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T03:00,1.9,75,0.0,0.0,22,19.1,46,973.3,0.383,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T04:00,1.4,76,0.0,0.0,25,19.9,45,973.1,0.382,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T05:00,1.1,77,0.0,0.0,22,20.1,43,973.7,0.382,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T06:00,1.0,77,0.0,0.0,31,20.4,42,974.4,0.381,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T07:00,0.8,78,0.0,0.0,36,20.7,41,974.6,0.381,0.02,2.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T08:00,1.3,76,0.0,0.0,22,19.9,41,975.2,0.38,0.03,70.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T09:00,1.9,71,0.0,0.0,46,22.7,43,975.7,0.38,0.07,204.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T10:00,2.8,62,0.0,0.0,37,25.0,46,976.9,0.379,0.11,294.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T11:00,3.0,61,0.0,0.0,32,24.7,47,976.8,0.378,0.12,341.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T12:00,3.2,60,0.0,0.0,18,24.4,46,976.2,0.377,0.13,394.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T13:00,3.3,60,0.0,0.0,14,24.7,46,976.7,0.377,0.12,318.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T14:00,2.9,62,0.0,0.0,27,24.2,44,976.9,0.376,0.1,251.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T15:00,2.2,65,0.0,0.0,37,21.4,41,977.5,0.375,0.06,126.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T16:00,1.3,69,0.0,0.0,41,20.2,41,977.5,0.375,0.03,19.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T17:00,0.7,73,0.0,0.0,34,19.4,42,977.5,0.375,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T18:00,0.5,74,0.0,0.0,39,18.9,42,978.1,0.374,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T19:00,0.6,73,0.0,0.0,37,18.4,40,978.2,0.374,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T20:00,0.6,73,0.0,0.0,17,16.6,41,978.4,0.374,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T21:00,0.4,73,0.0,0.0,8,14.3,39,979.0,0.374,0.02,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T22:00,0.3,74,0.0,0.0,6,13.0,34,979.1,0.373,0.01,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-01T23:00,0.3,74,0.0,0.0,9,13.8,33,979.3,0.373,0.01,0.0
7,Anorien,Gondor,43.1,12.39,1950-01-02T00:00,0.1,76,0.0,0.0,22,16.0,36,979.3,0.373,0.02,0.0
