region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T00:00,-14.1,41,0.0,0.0,0,4.7,23,783.2,0.422,0.01,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T01:00,-12.2,35,0.0,0.0,0,3.9,22,785.1,0.422,0.01,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T02:00,-12.5,33,0.0,0.0,0,4.2,20,785.0,0.422,0.01,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T03:00,-12.5,30,0.0,0.0,0,5.0,21,785.0,0.422,0.01,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T04:00,-12.4,28,0.0,0.0,1,5.5,23,784.4,0.422,0.01,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T05:00,-12.3,27,0.0,0.0,5,5.0,21,785.1,0.422,0.01,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T06:00,-12.1,26,0.0,0.0,27,4.2,20,785.7,0.422,0.01,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T07:00,-13.3,29,0.0,0.0,56,3.1,21,785.3,0.422,0.0,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T08:00,-12.5,27,0.0,0.0,36,2.6,16,786.8,0.422,0.01,30.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T09:00,-11.6,25,0.0,0.0,44,3.1,21,788.6,0.422,0.03,138.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T10:00,-10.7,25,0.0,0.0,35,4.0,10,789.9,0.422,0.06,245.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T11:00,-9.4,30,0.0,0.0,19,4.7,4,791.7,0.422,0.08,304.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T12:00,-8.8,34,0.0,0.0,38,6.1,3,791.7,0.422,0.09,341.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T13:00,-8.7,36,0.0,0.0,42,6.2,10,791.7,0.422,0.08,304.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T14:00,-8.6,32,0.0,0.0,68,5.9,14,791.0,0.422,0.06,222.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T15:00,-9.3,31,0.0,0.0,44,7.0,12,790.6,0.422,0.04,111.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T16:00,-10.2,31,0.0,0.0,0,7.7,11,789.9,0.422,0.02,16.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T17:00,-11.1,31,0.0,0.0,0,8.4,7,789.3,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T18:00,-11.6,30,0.0,0.0,0,8.4,10,789.4,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T19:00,-12.3,32,0.0,0.0,0,8.8,9,789.0,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T20:00,-12.2,31,0.0,0.0,10,9.8,6,789.5,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T21:00,-12.2,30,0.0,0.0,0,9.8,6,790.0,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T22:00,-12.1,29,0.0,0.0,0,9.9,10,792.2,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-01T23:00,-12.3,30,0.0,0.0,0,10.4,14,792.0,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-02T00:00,-12.1,29,0.0,0.0,0,10.0,15,791.4,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-02T01:00,-12.3,29,0.0,0.0,0,10.0,15,791.1,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-02T02:00,-12.5,30,0.0,0.0,0,10.3,12,790.2,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-02T03:00,-12.2,30,0.0,0.0,0,10.7,12,790.4,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-02T04:00,-12.4,31,0.0,0.0,8,10.7,12,790.1,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-02T05:00,-12.8,33,0.0,0.0,18,10.3,12,789.7,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-02T06:00,-12.9,34,0.0,0.0,11,9.7,15,789.7,0.422,0.02,0.0
80,Rivendell,Rivendell,46.5,9.83,1950-01-02T07:00,-14.8,41,0.0,0.0,44,9.0,16,787.5,0.422,0.01,0.0
