region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T00:00,0.1,94,0.0,0.0,46,6.1,50,1007.4,0.361,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T01:00,-0.7,95,0.0,0.0,34,5.5,23,1007.4,0.361,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T02:00,-0.9,94,0.0,0.0,31,6.0,25,1008.1,0.361,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T03:00,-0.1,92,0.0,0.0,31,5.9,43,1007.8,0.361,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T04:00,-1.6,95,0.0,0.0,28,4.4,35,1007.4,0.361,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T05:00,-1.7,95,0.0,0.0,22,5.1,352,1008.2,0.361,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T06:00,-1.6,94,0.0,0.0,26,6.3,329,1008.3,0.361,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T07:00,-0.5,90,0.0,0.0,29,5.0,300,1008.6,0.361,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T08:00,-1.0,91,0.0,0.0,52,5.2,258,1008.4,0.361,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T09:00,-1.2,92,0.0,0.0,54,4.9,234,1008.8,0.361,0.0,11.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T10:00,0.2,87,0.0,0.0,86,5.7,215,1009.0,0.361,0.02,67.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T11:00,1.0,83,0.0,0.0,85,5.9,223,1009.2,0.361,0.04,138.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T12:00,1.8,85,0.0,0.0,94,7.0,235,1009.0,0.36,0.05,154.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T13:00,2.5,85,0.0,0.0,99,7.9,240,1008.4,0.36,0.05,142.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T14:00,2.8,85,0.0,0.0,98,8.5,242,1008.4,0.36,0.04,121.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T15:00,2.7,87,0.0,0.0,84,7.7,242,1008.6,0.36,0.03,87.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T16:00,1.6,91,0.0,0.0,94,7.7,233,1008.5,0.36,0.01,31.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T17:00,1.0,93,0.0,0.0,94,10.0,232,1008.2,0.36,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T18:00,0.9,94,0.0,0.0,95,10.8,233,1008.3,0.36,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T19:00,0.5,94,0.0,0.0,95,11.5,238,1008.2,0.36,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T20:00,0.8,94,0.0,0.0,91,12.3,238,1008.0,0.36,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T21:00,0.9,95,0.0,0.0,94,13.0,242,1007.6,0.36,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T22:00,1.3,96,0.0,0.0,85,15.6,247,1007.3,0.36,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-01T23:00,1.7,96,0.0,0.0,93,15.5,245,1006.4,0.359,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-02T00:00,2.2,95,0.0,0.0,98,15.0,246,1006.4,0.359,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-02T01:00,2.7,95,0.0,0.0,99,16.2,249,1006.3,0.359,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-02T02:00,3.3,95,0.0,0.0,96,17.8,256,1006.2,0.359,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-02T03:00,3.9,95,0.0,0.0,97,17.7,253,1005.6,0.359,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-02T04:00,4.4,95,0.0,0.0,97,17.7,250,1004.3,0.359,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-02T05:00,4.9,95,0.0,0.0,99,17.8,249,1003.9,0.359,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-02T06:00,5.1,95,0.0,0.0,100,18.7,245,1003.4,0.359,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-02T07:00,5.9,95,0.0,0.0,100,19.6,244,1002.8,0.359,0.0,0.0
85,The Shire,Arthedain,51.83,-1.82,1950-01-02T08:00,6.6,96,0.0,0.0,100,21.1,243,1002.0,0.359,0.0,0.0
