region_id,region_name,kingdom,lat,lon,time,temperature_2m,relative_humidity_2m,precipitation,snowfall,cloud_cover,wind_speed_10m,wind_direction_10m,surface_pressure,soil_moisture_0_to_7cm,et0_fao_evapotranspiration,shortwave_radiation
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T00:00,-5.7,88,0.6,0.42,100,42.6,49,1006.5,0.01,0.01,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T01:00,-6.9,91,0.9,0.63,100,42.8,42,1006.8,0.01,0.01,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T02:00,-7.9,91,1.0,0.7,100,44.1,31,1008.1,0.01,0.01,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T03:00,-8.7,92,0.7,0.49,100,44.6,25,1008.6,0.01,0.0,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T04:00,-9.3,91,0.4,0.28,100,42.0,20,1010.1,0.01,0.0,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T05:00,-9.9,92,0.2,0.14,100,39.5,13,1012.1,0.01,0.0,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T06:00,-10.5,94,0.2,0.14,100,36.4,9,1013.3,0.01,0.01,6.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T07:00,-11.0,95,0.2,0.14,100,33.6,6,1014.4,0.01,0.01,59.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T08:00,-11.2,95,0.1,0.07,100,32.1,3,1015.7,0.01,0.01,118.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T09:00,-11.2,95,0.0,0.0,100,30.2,1,1016.5,0.01,0.02,147.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T10:00,-11.2,91,0.0,0.0,100,29.1,352,1017.2,0.01,0.02,176.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T11:00,-11.1,86,0.0,0.0,100,26.9,348,1018.2,0.01,0.02,160.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T12:00,-10.8,85,0.0,0.0,100,26.4,343,1019.0,0.01,0.02,108.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T13:00,-10.5,84,0.0,0.0,100,26.3,338,1020.3,0.01,0.02,56.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T14:00,-10.3,81,0.0,0.0,100,26.0,336,1020.8,0.01,0.01,11.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T15:00,-10.0,80,0.0,0.0,100,24.6,333,1020.5,0.01,0.01,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T16:00,-9.8,80,0.0,0.0,98,22.7,327,1020.8,0.01,0.01,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T17:00,-9.7,80,0.0,0.0,86,23.4,315,1020.7,0.01,0.01,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T18:00,-9.6,80,0.0,0.0,94,26.9,309,1020.7,0.01,0.01,0.0
87,Dorwinion,Dorwinion,46.85,38.0,1950-01-01T19:00,-8.1,81,0.0,0.0,81,29.7,308,1020.9,0.01,0.01,0.0
