region_id,region_name,kingdom_id,kingdom_name,analog_location,lat,lon,koppen
79,Andrast,10,Gondor,"Cape Finisterre, Galicia, Spain",42.88,-9.27,Cfb-coastal
13,Anfalas,10,Gondor,"Languedoc coast, Hérault, France",43.4,3.7,Csa
46,Angmar,21,Angmar,"Jotunheimen valley, Norway",61.6,9.0,Dfc
7,Anorien,10,Gondor,"Umbria interior, Perugia, Italy",43.1,12.39,Csa-Csb
64,Apariach,24,Forlindon,"Donegal, NW Ireland",54.65,-8.11,Cfc
28,Ardolyalinya,26,Harlindon,"Kerry, SW Ireland",51.97,-9.52,Cfb-Cfc
33,Ardquetto,26,Harlindon,"West Cork, Ireland",51.67,-9.46,Cfb-Cfc
49,Ascahiriand,24,Forlindon,"Donegal, NW Ireland",54.65,-8.11,Cfc
29,Belegaer sea,29,Belegaer Sea,Atlantic Ocean (skip),,,ocean
86,Bree,6,Arthedain,"Cotswolds, Gloucestershire, England",51.83,-1.82,Cfb
52,Celanoriand,24,Forlindon,"Sligo, W Ireland",54.27,-8.47,Cfc
35,Central Anduin,33,Anduin Vales,"Wachau, Lower Austria",48.37,15.43,Dfb
39,Central Misty Mountains,8,Misty Mountains,"Gotthard Pass, Switzerland",46.55,8.57,ET-mountain
45,Coldfells,35,Rhudaur,"Yorkshire Dales, N England",54.22,-2.15,Cfb-cold
8,Dagorlad,14,Dagorlad,"Cappadocia, Nevşehir, Turkey",38.65,34.83,Dfb-dry
25,Dale,16,Dale,"Nowy Targ, Lesser Poland, Poland",49.48,20.03,Dfb
83,Dor Guldur,19,Dor Guldur,"Polesie, Belarus/Ukraine border",52.1,27.5,Dfb
6,Dor Rhunen,10,Gondor,"Extremadura, Cáceres, Spain",39.47,-6.37,Csa
20,Dor-en-Emyl,10,Gondor,"Alentejo, Portugal",38.57,-7.9,Csa
87,Dorwinion,12,Dorwinion,"Sea of Azov coast, Ukraine",46.85,38.0,BSk-Dfb
9,Druadan Forest,5,Druadan Forest,"Maremma Toscana, Grosseto, Italy",42.75,11.1,Csb
77,Druwaith Laur,10,Gondor,"Pembrokeshire, SW Wales",51.68,-4.91,Cfb
