name,slug,category,probability_by_region
Angusaiweli,angusaiweli,Animal,"[{""region"": ""Dor Rhunen"", ""probability"": 1}, {""region"": ""Dorwinion"", ""probability"": 1}, {""region"": ""Eothraim"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 1}, {""region"": ""Nurn"", ""probability"": 3}]"
Ants,ants,Animal,"[{""region"": ""Mordor"", ""probability"": 4}, {""region"": ""Nurn"", ""probability"": 7}]"
Arthedain Site,arthedain_site,Sites,"[{""region"": ""Evendim Hills"", ""probability"": 2}, {""region"": ""Fornost"", ""probability"": 10}, {""region"": ""Lone-lands"", ""probability"": 5}, {""region"": ""Numeriador"", ""probability"": 2}, {""region"": ""Rammas Formen"", ""probability"": 3}, {""region"": ""Talath Muil"", ""probability"": 2}, {""region"": ""Weather Hills"", ""probability"": 5}]"
Asdriags and Sagath soldiers,asdriags_and_sagath_soldiers,Men,"[{""region"": ""Dor Guldur"", ""probability"": 3}]"
Ash Drake,ash_drake,Non_mannish,"[{""region"": ""Nurn"", ""probability"": 40}]"
Aurych,aurych,Animal,"[{""region"": ""Dor Rhunen"", ""probability"": 1}, {""region"": ""Eothraim"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 1}]"
Avalanche,avalanche,Inanimate,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 3}, {""region"": ""Dunland"", ""probability"": 2}, {""region"": ""Fangorn"", ""probability"": 3}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}]"
Avalanche Cave in,avalanche_cave_in,Inanimate,"[{""region"": ""Iron Hills"", ""probability"": 1}, {""region"": ""Mordor"", ""probability"": 4}, {""region"": ""Talath Uichel"", ""probability"": 1}]"
Bandits,bandits,Men,"[{""region"": ""Andrast"", ""probability"": 1}, {""region"": ""Anfalas"", ""probability"": 2}, {""region"": ""Angmar"", ""probability"": 1}, {""region"": ""Anorien"", ""probability"": 1}, {""region"": ""Ardolyalinya"", ""probability"": 4}, {""region"": ""Ardquetto"", ""probability"": 5}, {""region"": ""Ascahiriand"", ""probability"": 3}, {""region"": ""Belegaer sea"", ""probability"": 4}, {""region"": ""Central Anduin"", ""probability"": 2}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Coldfells"", ""probability"": 3}, {""region"": ""Dor-en-Emyl"", ""probability"": 4}, {""region"": ""Druwaith Laur"", ""probability"": 3}, {""region"": ""Dunland"", ""probability"": 2}, {""region"": ""En Udanoriath"", ""probability"": 3}, {""region"": ""Ettenmoors"", ""probability"": 3}, {""region"": ""Evendim Hills"", ""probability"": 1}, {""region"": ""Fangorn"", ""probability"": 1}, {""region"": ""Forithilien"", ""probability"": 6}, {""region"": ""Fornost"", ""probability"": 1}, {""region"": ""Hairavercien"", ""probability"": 3}, {""region"": ""Harithilien"", ""probability"": 5}, {""region"": ""Harondor"", ""probability"": 5}, {""region"": ""Lairiardhon"", ""probability"": 6}, {""region"": ""Lamedon"", ""probability"": 5}, {""region"": ""Lebennin"", ""probability"": 1}, {""region"": ""Lildardhon"", ""probability"": 6}, {""region"": ""Lone-lands"", ""probability"": 3}, {""region"": ""M\u00e4noriand"", ""probability"": 4}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Numeriador"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 3}, {""region"": ""Rammas Formen"", ""probability"": 2}, {""region"": ""Rivendell"", ""probability"": 3}, {""region"": ""Ronalindon"", ""probability"": 3}, {""region"": ""Sandariand"", ""probability"": 4}, {""region"": ""South Harlindon"", ""probability"": 4}, {""region"": ""Talath Muil"", ""probability"": 1}, {""region"": ""Tolfalas"", ""probability"": 4}, {""region"": ""Vinyalas"", ""probability"": 6}, {""region"": ""Weather Hills"", ""probability"": 3}, {""region"": ""Wilderness of Arnor"", ""probability"": 3}]"
Barrow grave,barrow_grave,Sites,"[{""region"": ""Evendim Hills"", ""probability"": 1}, {""region"": ""Fornost"", ""probability"": 2}, {""region"": ""Forochel"", ""probability"": 2}, {""region"": ""Lone-lands"", ""probability"": 1}, {""region"": ""Numeriador"", ""probability"": 1}, {""region"": ""Rammas Formen"", ""probability"": 1}, {""region"": ""Talath Muil"", ""probability"": 1}, {""region"": ""Weather Hills"", ""probability"": 1}]"
Barrow wight,barrow_wight,Non_mannish,"[{""region"": ""Iron Hills"", ""probability"": 1}, {""region"": ""Nurn"", ""probability"": 2}, {""region"": ""Talath Uichel"", ""probability"": 1}]"
Bats,bats,Animal,"[{""region"": ""Angmar"", ""probability"": 1}, {""region"": ""Dor Rhunen"", ""probability"": 1}, {""region"": ""Dorwinion"", ""probability"": 2}, {""region"": ""Dunland"", ""probability"": 2}, {""region"": ""Eothraim"", ""probability"": 1}, {""region"": ""Evendim Hills"", ""probability"": 1}, {""region"": ""Fangorn"", ""probability"": 2}, {""region"": ""Fornost"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 4}, {""region"": ""Iron Hills"", ""probability"": 2}, {""region"": ""Lone-lands"", ""probability"": 3}, {""region"": ""Numeriador"", ""probability"": 1}, {""region"": ""Nurn"", ""probability"": 20}, {""region"": ""Parth Celebrant"", ""probability"": 3}, {""region"": ""Rammas Formen"", ""probability"": 2}, {""region"": ""Talath Muil"", ""probability"": 1}, {""region"": ""Talath Uichel"", ""probability"": 1}, {""region"": ""Weather Hills"", ""probability"": 3}]"
Bats Flying Frogs,bats_flying_frogs,Animal,"[{""region"": ""Enedhwaith"", ""probability"": 1}, {""region"": ""Minhiriath"", ""probability"": 2}, {""region"": ""Mintyrnath"", ""probability"": 1}, {""region"": ""South Downs"", ""probability"": 1}]"
Beacon,beacon,Inanimate,"[{""region"": ""Mordor"", ""probability"": 1}]"
Beaded Lizards,beaded_lizards,Animal,"[{""region"": ""Nurn"", ""probability"": 2}]"
Bears,bears,Animal,"[{""region"": ""Anfalas"", ""probability"": 1}, {""region"": ""Bree"", ""probability"": 1}, {""region"": ""Central Anduin"", ""probability"": 3}, {""region"": ""Central Misty Mountains"", ""probability"": 2}, {""region"": ""Coldfells"", ""probability"": 1}, {""region"": ""Dale"", ""probability"": 4}, {""region"": ""Dor Rhunen"", ""probability"": 2}, {""region"": ""Dorwinion"", ""probability"": 2}, {""region"": ""Druadan Forest"", ""probability"": 4}, {""region"": ""Druwaith Laur"", ""probability"": 1}, {""region"": ""Dunland"", ""probability"": 3}, {""region"": ""En Egladil"", ""probability"": 2}, {""region"": ""En Udanoriath"", ""probability"": 1}, {""region"": ""Enedhwaith"", ""probability"": 2}, {""region"": ""Eothraim"", ""probability"": 2}, {""region"": ""Eregion"", ""probability"": 2}, {""region"": ""Esgaroth"", ""probability"": 4}, {""region"": ""Ettenmoors"", ""probability"": 1}, {""region"": ""Evendim Hills"", ""probability"": 6}, {""region"": ""Fangorn"", ""probability"": 2}, {""region"": ""Fornost"", ""probability"": 2}, {""region"": ""Forochel"", ""probability"": 1}, {""region"": ""Forovirian"", ""probability"": 3}, {""region"": ""Gramuz"", ""probability"": 1}, {""region"": ""Hairavercien"", ""probability"": 1}, {""region"": ""Lamedon"", ""probability"": 1}, {""region"": ""Lone-lands"", ""probability"": 2}, {""region"": ""Minhiriath"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 2}, {""region"": ""Numeriador"", ""probability"": 6}, {""region"": ""Old Forest"", ""probability"": 7}, {""region"": ""Parth Celebrant"", ""probability"": 1}, {""region"": ""Rammas Formen"", ""probability"": 4}, {""region"": ""Rast Vorn"", ""probability"": 3}, {""region"": ""Rivendell"", ""probability"": 1}, {""region"": ""Rohan"", ""probability"": 2}, {""region"": ""South Arthedain"", ""probability"": 1}, {""region"": ""Talath Muil"", ""probability"": 6}, {""region"": ""The Shire"", ""probability"": 1}, {""region"": ""Tower Hills"", ""probability"": 1}, {""region"": ""Trollshaws"", ""probability"": 3}, {""region"": ""Weather Hills"", ""probability"": 2}, {""region"": ""West Rhudaur"", ""probability"": 1}, {""region"": ""Westmarch"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 11}, {""region"": ""Wold"", ""probability"": 1}, {""region"": ""Woodland Realm"", ""probability"": 4}, {""region"": ""Woodmen"", ""probability"": 6}]"
Bees Hornets,bees_hornets,Animal,"[{""region"": ""Andrast"", ""probability"": 3}, {""region"": ""Anfalas"", ""probability"": 3}, {""region"": ""Anorien"", ""probability"": 2}, {""region"": ""Belegaer sea"", ""probability"": 1}, {""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Dor-en-Emyl"", ""probability"": 3}, {""region"": ""Druadan Forest"", ""probability"": 2}, {""region"": ""Druwaith Laur"", ""probability"": 3}, {""region"": ""Dunland"", ""probability"": 1}, {""region"": ""Fangorn"", ""probability"": 2}, {""region"": ""Hairavercien"", ""probability"": 3}, {""region"": ""Lamedon"", ""probability"": 3}, {""region"": ""Lebennin"", ""probability"": 2}, {""region"": ""Nan Anduin"", ""probability"": 2}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 2}, {""region"": ""Rohan"", ""probability"": 2}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}, {""region"": ""Tolfalas"", ""probability"": 1}, {""region"": ""Westmarch"", ""probability"": 2}, {""region"": ""Wold"", ""probability"": 1}]"
Beffraen,beffraen,Men,"[{""region"": ""Minhiriath"", ""probability"": 1}, {""region"": ""Rast Vorn"", ""probability"": 6}]"
Beijabar of Nan Anduin,beijabar_of_nan_anduin,Men,"[{""region"": ""Mirkwood Wilds"", ""probability"": 3}, {""region"": ""Woodmen"", ""probability"": 15}]"
Birds,birds,Animal,"[{""region"": ""Bree"", ""probability"": 7}, {""region"": ""En Egladil"", ""probability"": 12}, {""region"": ""Enedhwaith"", ""probability"": 6}, {""region"": ""Minhiriath"", ""probability"": 5}, {""region"": ""Mintyrnath"", ""probability"": 2}, {""region"": ""Old Forest"", ""probability"": 5}, {""region"": ""Rast Vorn"", ""probability"": 5}, {""region"": ""South Arthedain"", ""probability"": 3}, {""region"": ""South Downs"", ""probability"": 2}, {""region"": ""The Shire"", ""probability"": 7}, {""region"": ""Tower Hills"", ""probability"": 5}, {""region"": ""Trollshaws"", ""probability"": 6}, {""region"": ""West Rhudaur"", ""probability"": 7}, {""region"": ""Wilderness of Arnor"", ""probability"": 8}]"
Black Lizards,black_lizards,Animal,"[{""region"": ""Nurn"", ""probability"": 3}]"
