id,name,slug,type,tier,parent_id,description,url_path,biomes,created_at,region_ids,probability_by_region
24df671e-46ba-4885-96be-3d49cc81fcc1,Bittern,bittern,flying_animals,encounter,,"A wading and fishing bird found in the deltas of northwestern Endor, the Bittern, or Northern Heron, is known for its strange resonant, mournful cry. It is slow, cunning, deliberate hunter that feeds on snakes, crustaceans, and fish. Bitterns migrate, spending their winters in the wetlands along the temperate seacoasts and their summers in the lakes and deltas of the North.",,"{marsh,river}",2026-06-15 16:33:03.031393,,
2f4592e8-76ef-44d5-9434-6e974c1fc234,Crake,crake,flying_animals,encounter,,"A black-and-purple ducklike species, the Crake is known as a noisy and obnoxious waterbird. It has wide, splayed feet, allowing it to dash across pondweed and mudflats. Crakes are also excellent swimmers and remarkably swift flyers. They are among the most flexible and adaptable species in all of Middle-earth, ranging as far north as Forodwaith, Mur, and Urb.",,"{marsh,river}",2026-06-15 16:33:03.033211,,
2c718b24-122d-43c2-bfd3-aaeee51ac5d2,Laiquendi,laiquendi,elves,encounter,a85ddc65-e8d5-460e-99ea-8b2e6a0f70ec,Green-elves of Ossiriand.,,,2026-06-16 23:15:30.009721,{32},"[{""region"": ""South Harlindon"", ""probability"": ""Medium""}]"
8852dcb8-6544-499a-99e4-7263bd285069,Ground Bees,ground_bees,insects,encounter,,"Striped with bright yellow and black like their distant cousins the yellowjackets, but fuzzy like any true bee, Ground Bees make their nests in abandoned burrows previously belonging to such creatures as Rabbits, Ground Squirrels, and Culcarnix. They are social insects who present a hazard because of their numbers and astounding coordination. Worse, their carefully hidden nests are hard (-20) to spot; when any unfortunate being steps in or near the nest, the Ground Bees, warned by the vibrations, swarm out and mob the unlucky intruder. Multiple stings can cause temporary weakness and even paralysis. Like other Bees, Ground Bees produce honey, but their underground location makes the prospect of stunning the Bees with smoke and harvesting the honey rather unattractive, so any Ground Bees that have made their nests far from Bear-infested regions (such as forests or hills) can hoard their treasure unmolested.",,,2026-06-15 16:25:44.988887,"{14,21,38,63,76}","[{""region"": ""Nurn"", ""probability"": ""Absurd""}, {""region"": ""Enedhwaith"", ""probability"": ""Medium""}, {""region"": ""Nan Anduin"", ""probability"": ""Medium""}, {""region"": ""Westmarch"", ""probability"": ""Medium""}, {""region"": ""Wold"", ""probability"": ""Medium""}]"
99c727ca-9f54-4161-93d0-072047747a21,Culcarnix,culcarnix,herbivores,encounter,,"This large, ground-dwelling rodent is found on the Talath Harroch, the plain south of Mirkwood. They are reported to be totally harmless, an opinion which owes much to the lack of farmsteads in the Talath Harroch. Culcarnix can devastate a farm field. Nevertheless, they are totally unaggressive toward other living beings. Tailless and blunt-nosed, Culcarnix live in burrows beneath the earth, and can occasionally be seen standing on the mounds of earth by the entrances to their burrows, sniffing the air for any scent of approaching enemies. They have thick, red-brown fur that has at various times been much in demand by furriers. The Wainriders, for instance, raised them in great numbers for their hides. Thus, they have become scarce in areas where there is widespread settlement.",,{mountains},2026-06-15 20:15:02.167376,"{1,2,3,6,83}","[{""region"": ""Dor Rhunen"", ""probability"": ""Sheer Folly""}, {""region"": ""Eothraim"", ""probability"": ""Hard""}, {""region"": ""Gramuz"", ""probability"": ""Hard""}, {""region"": ""Dor Guldur"", ""probability"": ""Medium""}, {""region"": ""Mirkwood Wilds"", ""probability"": ""Medium""}]"
17e72375-4980-474d-890e-427bd0573562,Giants,giants,giants,encounter,,Massive humanoid creatures found in mountains and wilderness.,,,2026-06-16 23:15:30.009721,"{27,35,36,39,45,47,66,68,69,72}","[{""region"": ""Central Misty Mountains"", ""probability"": ""Absurd""}, {""region"": ""Dunland"", ""probability"": ""Absurd""}, {""region"": ""Forovirian"", ""probability"": ""Absurd""}, {""region"": ""North Misty Mountains"", ""probability"": ""Absurd""}, {""region"": ""Ronen-in-Anduin"", ""probability"": ""Absurd""}, {""region"": ""Central Anduin"", ""probability"": ""Medium""}, {""region"": ""Wilderness of Arnor"", ""probability"": ""Medium""}, {""region"": ""Coldfells"", ""probability"": ""Medium""}, {""region"": ""Ered Luin"", ""probability"": ""Medium""}]"
b9522d0b-4c7a-426e-9c75-ecd710f873dc,Kingfisher,kingfisher,flying_animals,encounter,,"The smallest of Endor's fisherfowl, the Kingfisher is also the most attractive. It has a large, silvery bill and silver, blue, orange and white feathers. The Kingfisher's riverbank home belies its beauty, though, for it is little more than a dirty hole full of old fish bones and rotting mess. Besides fish, the Kingfisher preys on insects, centipedes, and small lizards and amphibians.",,"{forest,river}",2026-06-15 16:25:44.988887,,
f7b2ad25-e803-4753-b604-8198c7ca722e,Fen Boars,fen_boars,other_animals,encounter,,"Smaller than their forest-dwelling relatives that gorge on autumn nuts, Fen Boars make for good hunting and tasty eating. Males can be dangerous if cornered, lashing with the long tusks they normally use to dig mud for roots and grub out rotten meat. More than other pigs they relish berries, insects and fish alongside their usual vegetarian diet.",,{forest},2026-06-15 16:25:44.988887,"{14,16,21,38}","[{""region"": ""Enedhwaith"", ""probability"": ""Hard""}, {""region"": ""Minhiriath"", ""probability"": ""Hard""}, {""region"": ""Nan Anduin"", ""probability"": ""Hard""}, {""region"": ""Westmarch"", ""probability"": ""Medium""}]"
ea4a6259-4ccb-4a6f-b229-727f767fedda,Grey Wolves,grey_wolves,carnivores,encounter,,"Powerful, muscular dog (S. Draugwath, Q. Mistanarmo) with a thick coat and bushy tail, ranging all over Middle-earth and varying from near-black in warm locales to almost white in the North. Exceptionally social, living in family groups or packs that hunt cooperatively, favouring Deer and Sheep in warm climes and Caru or Losrandir in cooler ones, with rodents, fish and crustaceans besides. Mated pairs stay together for life and rarely fight over mates.",,,2026-06-15 16:25:44.988887,"{1,2,6,16,24,38,41,62,63,67,73,76,87}","[{""region"": ""Dor Rhunen"", ""probability"": ""Sheer Folly""}, {""region"": ""Dorwinion"", ""probability"": ""Absurd""}, {""region"": ""Eothraim"", ""probability"": ""Sheer Folly""}, {""region"": ""Gramuz"", ""probability"": ""Absurd""}, {""region"": ""Iron Hills"", ""probability"": ""Very Hard""}, {""region"": ""Nurn"", ""probability"": ""Absurd""}, {""region"": ""Talath Uichel"", ""probability"": ""Very Hard""}, {""region"": ""West Rhudaur"", ""probability"": ""Extremely Hard""}, {""region"": ""Nan Anduin"", ""probability"": ""Extremely Hard""}, {""region"": ""Rohan"", ""probability"": ""Extremely Hard""}, {""region"": ""Minhiriath"", ""probability"": ""Extremely Hard""}, {""region"": ""Forochel"", ""probability"": ""Extremely Hard""}, {""region"": ""Wold"", ""probability"": ""Medium""}]"
b4283e0c-00a0-464f-a5f1-dd3d4bcda626,Horses of Rohan,horses_of_rohan,riding_animals,encounter,,"Horses bred and ridden by the Rohirrim, known for their speed and endurance.",,,2026-06-15 23:30:05.846484,"{14,63}","[{""region"": ""Westmarch"", ""probability"": ""Medium""}, {""region"": ""Wold"", ""probability"": ""Medium""}]"
