id,name,slug,type,active,danger,description,url_path,biomes,created_at,region_ids,tier,parent_id,probability_by_region
2c718b24-122d-43c2-bfd3-aaeee51ac5d2,Laiquendi (Green-elves),laiquendi,elves,all-day,0,Green-elves of Ossiriand.,,{forest},2026-06-16 23:15:30.009721,{32},encounter,a85ddc65-e8d5-460e-99ea-8b2e6a0f70ec,"[{""region"": ""South Harlindon"", ""probability"": ""Medium""}]"
8852dcb8-6544-499a-99e4-7263bd285069,Ground Bees,ground_bees,insects,day,1,"Striped with bright yellow and black like their distant cousins the yellowjackets, but fuzzy like any true bee, Ground Bees make their nests in abandoned burrows previously belonging to such creatures as Rabbits, Ground Squirrels, and Culcarnix. They are social insects who present a hazard because of their numbers and astounding coordination. Worse, their carefully hidden nests are hard (-20) to spot; when any unfortunate being steps in or near the nest, the Ground Bees, warned by the vibrations, swarm out and mob the unlucky intruder. Multiple stings can cause temporary weakness and even paralysis. Like other Bees, Ground Bees produce honey, but their underground location makes the prospect of stunning the Bees with smoke and harvesting the honey rather unattractive, so any Ground Bees that have made their nests far from Bear-infested regions (such as forests or hills) can hoard their treasure unmolested.",,,2026-06-15 16:25:44.988887,"{14,21,38,63,76}",encounter,,"[{""region"": ""Nurn"", ""probability"": ""Absurd""}, {""region"": ""Enedhwaith"", ""probability"": ""Medium""}, {""region"": ""Nan Anduin"", ""probability"": ""Medium""}, {""region"": ""Westmarch"", ""probability"": ""Medium""}, {""region"": ""Wold"", ""probability"": ""Medium""}]"
99c727ca-9f54-4161-93d0-072047747a21,Culcarnix,culcarnix,herbivores,all-day,0,"This large, ground-dwelling rodent is found on the Talath Harroch, the plain south of Mirkwood. They are reported to be totally harmless, an opinion which owes much to the lack of farmsteads in the Talath Harroch. Culcarnix can devastate a farm field. Nevertheless, they are totally unaggressive toward other living beings. Tailless and blunt-nosed, Culcarnix live in burrows beneath the earth, and can occasionally be seen standing on the mounds of earth by the entrances to their burrows, sniffing the air for any scent of approaching enemies. They have thick, red-brown fur that has at various times been much in demand by furriers. The Wainriders, for instance, raised them in great numbers for their hides. Thus, they have become scarce in areas where there is widespread settlement.",,{mountains},2026-06-15 20:15:02.167376,"{1,2,3,6,83}",encounter,,"[{""region"": ""Dor Rhunen"", ""probability"": ""Sheer Folly""}, {""region"": ""Eothraim"", ""probability"": ""Hard""}, {""region"": ""Gramuz"", ""probability"": ""Hard""}, {""region"": ""Dor Guldur"", ""probability"": ""Medium""}, {""region"": ""Mirkwood Wilds"", ""probability"": ""Medium""}]"
17e72375-4980-474d-890e-427bd0573562,Giants,giants,giants,day,4,Massive humanoid creatures found in mountains and wilderness.,,,2026-06-16 23:15:30.009721,"{27,35,36,39,45,47,66,68,69,72}",encounter,,"[{""region"": ""Central Misty Mountains"", ""probability"": ""Absurd""}, {""region"": ""Dunland"", ""probability"": ""Absurd""}, {""region"": ""Forovirian"", ""probability"": ""Absurd""}, {""region"": ""North Misty Mountains"", ""probability"": ""Absurd""}, {""region"": ""Ronen-in-Anduin"", ""probability"": ""Absurd""}, {""region"": ""Central Anduin"", ""probability"": ""Medium""}, {""region"": ""Wilderness of Arnor"", ""probability"": ""Medium""}, {""region"": ""Coldfells"", ""probability"": ""Medium""}, {""region"": ""Ered Luin"", ""probability"": ""Medium""}]"
f7b2ad25-e803-4753-b604-8198c7ca722e,Fen Boars,fen_boars,other_animals,all-day,0,"Smaller than their forest-dwelling relatives that gorge on autumn nuts, Fen Boars make for good hunting and tasty eating. Males can be dangerous if cornered, lashing with the long tusks they normally use to dig mud for roots and grub out rotten meat. More than other pigs they relish berries, insects and fish alongside their usual vegetarian diet.",,{forest},2026-06-15 16:25:44.988887,"{14,16,21,38}",encounter,,"[{""region"": ""Enedhwaith"", ""probability"": ""Hard""}, {""region"": ""Minhiriath"", ""probability"": ""Hard""}, {""region"": ""Nan Anduin"", ""probability"": ""Hard""}, {""region"": ""Westmarch"", ""probability"": ""Medium""}]"
ea4a6259-4ccb-4a6f-b229-727f767fedda,Grey Wolves,grey_wolves,carnivores,all-day,2,"Powerful, muscular dog (S. Draugwath, Q. Mistanarmo) with a thick coat and bushy tail, ranging all over Middle-earth and varying from near-black in warm locales to almost white in the North. Exceptionally social, living in family groups or packs that hunt cooperatively, favouring Deer and Sheep in warm climes and Caru or Losrandir in cooler ones, with rodents, fish and crustaceans besides. Mated pairs stay together for life and rarely fight over mates.",,,2026-06-15 16:25:44.988887,"{1,2,6,16,24,38,41,46,62,63,66,67,73,76,87}",encounter,,"[{""region"": ""Dor Rhunen"", ""probability"": ""Sheer Folly""}, {""region"": ""Dorwinion"", ""probability"": ""Absurd""}, {""region"": ""Eothraim"", ""probability"": ""Sheer Folly""}, {""region"": ""Gramuz"", ""probability"": ""Absurd""}, {""region"": ""Iron Hills"", ""probability"": ""Very Hard""}, {""region"": ""Nurn"", ""probability"": ""Absurd""}, {""region"": ""Talath Uichel"", ""probability"": ""Very Hard""}, {""region"": ""West Rhudaur"", ""probability"": ""Extremely Hard""}, {""region"": ""Nan Anduin"", ""probability"": ""Extremely Hard""}, {""region"": ""Rohan"", ""probability"": ""Extremely Hard""}, {""region"": ""Minhiriath"", ""probability"": ""Extremely Hard""}, {""region"": ""Forochel"", ""probability"": ""Extremely Hard""}, {""region"": ""Wold"", ""probability"": ""Medium""}, {""region"": ""Angmar"", ""probability"": ""Extremely Hard""}, {""region"": ""Forovirian"", ""probability"": ""Very Hard""}]"
b4283e0c-00a0-464f-a5f1-dd3d4bcda626,Horses of Rohan,horses_of_rohan,riding_animals,all-day,1,"Horses bred and ridden by the Rohirrim, known for their speed and endurance.",,,2026-06-15 23:30:05.846484,"{14,63}",encounter,,"[{""region"": ""Westmarch"", ""probability"": ""Medium""}, {""region"": ""Wold"", ""probability"": ""Medium""}]"
50f2655f-457a-44a9-9729-2580a86a2594,Wargs,wargs,carnivores,all-day,3,"Wargs are bred from cursed Wolves. Unusually large and fierce, they are also more intelligent than their canine ancestors. They serve as mounts for Orcs and as guards and scouts for Morgoth. Being artificially long-lived, undead, the spirit that inhabits a Warg's form dissipates when the body is slain. In turn, the body disappears.",,,2026-06-15 16:25:44.988887,"{3,9,14,15,16,17,21,24,35,36,37,38,39,40,41,42,43,44,45,46,48,50,54,55,56,57,58,59,60,61,62,63,66,67,68,69,70,71,73,76,80,81,83,85,86}",encounter,,"[{""region"": ""Angmar"", ""probability"": ""Absurd""}, {""region"": ""Bree"", ""probability"": ""Absurd""}, {""region"": ""Central Anduin"", ""probability"": ""Absurd""}, {""region"": ""Central Misty Mountains"", ""probability"": ""Very Hard""}, {""region"": ""Coldfells"", ""probability"": ""Sheer Folly""}, {""region"": ""Dor Guldur"", ""probability"": ""Very Hard""}, {""region"": ""Druadan Forest"", ""probability"": ""Extremely Hard""}, {""region"": ""En Egladil"", ""probability"": ""Very Hard""}, {""region"": ""En Udanoriath"", ""probability"": ""Sheer Folly""}, {""region"": ""Enedhwaith"", ""probability"": ""Absurd""}, {""region"": ""Eregion"", ""probability"": ""Extremely Hard""}, {""region"": ""Ettenmoors"", ""probability"": ""Sheer Folly""}, {""region"": ""Evendim Hills"", ""probability"": ""Absurd""}, {""region"": ""Fornost"", ""probability"": ""Absurd""}, {""region"": ""Forochel"", ""probability"": ""Extremely Hard""}, {""region"": ""Forovirian"", ""probability"": ""Sheer Folly""}, {""region"": ""Iron Hills"", ""probability"": ""Hard""}, {""region"": ""Lone-lands"", ""probability"": ""Extremely Hard""}, {""region"": ""Minhiriath"", ""probability"": ""Sheer Folly""}, {""region"": ""Mintyrnath"", ""probability"": ""Extremely Hard""}, {""region"": ""Mirkwood Wilds"", ""probability"": ""Medium""}, {""region"": ""Moria"", ""probability"": ""Sheer Folly""}, {""region"": ""Nan Anduin"", ""probability"": ""Extremely Hard""}, {""region"": ""North Misty Mountains"", ""probability"": ""Sheer Folly""}, {""region"": ""Numeriador"", ""probability"": ""Absurd""}, {""region"": ""Nurn"", ""probability"": ""Extremely Hard""}, {""region"": ""Old Forest"", ""probability"": ""Absurd""}, {""region"": ""Rammas Formen"", ""probability"": ""Very Hard""}, {""region"": ""Rast Vorn"", ""probability"": ""Absurd""}, {""region"": ""Rivendell"", ""probability"": ""Sheer Folly""}, {""region"": ""Rohan"", ""probability"": ""Extremely Hard""}, {""region"": ""Ronen-in-Anduin"", ""probability"": ""Sheer Folly""}, {""region"": ""South Arthedain"", ""probability"": ""Absurd""}, {""region"": ""South Downs"", ""probability"": ""Extremely Hard""}, {""region"": ""Talath Muil"", ""probability"": ""Extremely Hard""}, {""region"": ""Talath Uichel"", ""probability"": ""Very Hard""}, {""region"": ""The Shire"", ""probability"": ""Absurd""}, {""region"": ""Tower Hills"", ""probability"": ""Absurd""}, {""region"": ""Trollshaws"", ""probability"": ""Very Hard""}, {""region"": ""Weather Hills"", ""probability"": ""Extremely Hard""}, {""region"": ""West Rhudaur"", ""probability"": ""Extremely Hard""}, {""region"": ""Westmarch"", ""probability"": ""Sheer Folly""}, {""region"": ""Wilderness of Arnor"", ""probability"": ""Sheer Folly""}, {""region"": ""Wold"", ""probability"": ""Absurd""}, {""region"": ""Woodmen"", ""probability"": ""Very Hard""}]"
1af98400-329e-4c12-a638-16b6ee9f66f5,Fell Beasts,fell_beasts,drakes,all-day,4,"Small, Dragon-related monsters, Fell Beasts are horrible and terrifying creatures bred from Winged-drakes. Sauron found them roosting in the remote highlands of the North and refined them in order to produce swift, aerial steeds for his Nazgûl.",,{plains},2026-06-15 16:25:44.988887,"{1,2,6,24,35,36,38,39,68,74,76,83,87}",encounter,,"[{""region"": ""Central Anduin"", ""probability"": ""Absurd""}, {""region"": ""Central Misty Mountains"", ""probability"": ""Absurd""}, {""region"": ""Dor Rhunen"", ""probability"": ""Absurd""}, {""region"": ""Dorwinion"", ""probability"": ""Absurd""}, {""region"": ""Eothraim"", ""probability"": ""Absurd""}, {""region"": ""Gramuz"", ""probability"": ""Absurd""}, {""region"": ""Nan Anduin"", ""probability"": ""Absurd""}, {""region"": ""North Misty Mountains"", ""probability"": ""Absurd""}, {""region"": ""Nurn"", ""probability"": ""Hard""}, {""region"": ""Ronen-in-Anduin"", ""probability"": ""Absurd""}, {""region"": ""Mordor"", ""probability"": ""Sheer Folly""}, {""region"": ""Dor Guldur"", ""probability"": ""Sheer Folly""}, {""region"": ""Iron Hills"", ""probability"": ""Medium""}]"
20b0828e-e2b9-421a-9137-431214c8cc19,Merchaithrais,merchaithrais,water_animals,all-day,0,"The Shadowhorn, or ""Morchaithras"" (pl. ""Merchaithrais"" or ""Morchaithrais""), is a large, flat, black Ray equipped with a long, whiplike tail. Its tail is studded with short but exceptionally sharp barbs that deliver knifelike cuts and inject victims with a powerful (3rd lvl) muscle venom. The Ray expanded pectoral fins form triangular wings that extend along its head and trunk, giving the fish a diamond shape. The tips of these wings are equipped with electricity-producing organs that can stun or immobilize a swimmer. Merchaithrais prefer to swim along the bottom of the coastal shelf, burrowing themselves in the sand near shoals in order to await their prey. While swimming, they flap their pectoral fins and move gracefully and quickly through the water, as if flying.",,{water},2026-06-15 16:25:44.988887,"{13,20,29}",encounter,,"[{""region"": ""Belegaer sea"", ""probability"": ""Hard""}, {""region"": ""Anfalas"", ""probability"": ""Hard""}, {""region"": ""Dor-en-Emyl"", ""probability"": ""Hard""}]"
