id,name,slug,type,description,url_path,biomes,created_at,region_ids,tier,parent_id,probability_by_region,active,danger,description_summary
1fce59e8-3cd1-4c7b-bda6-65b87652eee1,Eothraim,eothraim,humans,"Superb equestrian warriors, semi-nomadic herders, and hunters who move between seasonal pastures and maintain a disunified but highly honorable society.",,{plains},2026-06-16 22:58:58.653695,"{1,2,3,6,9,14,35,36,37,38,39,62,63,68,83,87}",encounter,06d62e06-9fcb-4dda-93c8-9ca72b211f57,"[{""region"": ""Dor Rhunen"", ""probability"": 6}, {""region"": ""Dorwinion"", ""probability"": 2}, {""region"": ""Eothraim"", ""probability"": 6}, {""region"": ""Gramuz"", ""probability"": 3}, {""region"": ""Dor Guldur"", ""probability"": 6}, {""region"": ""Mirkwood Wilds"", ""probability"": 6}, {""region"": ""Woodmen"", ""probability"": 6}, {""region"": ""Central Anduin"", ""probability"": 4}, {""region"": ""Central Misty Mountains"", ""probability"": 2}, {""region"": ""Druadan Forest"", ""probability"": 2}, {""region"": ""Nan Anduin"", ""probability"": 5}, {""region"": ""North Misty Mountains"", ""probability"": 2}, {""region"": ""Rohan"", ""probability"": 3}, {""region"": ""Ronen-in-Anduin"", ""probability"": 4}, {""region"": ""Westmarch"", ""probability"": 6}, {""region"": ""Wold"", ""probability"": 6}]",all-day,0,"Semi-nomadic horse-people — superb riders, herders and hunters who follow their flocks between seasonal pastures. Proud and honour-bound, though split into many independent groups. Toward travellers: wary but hospitable to those who show respect; quick to take offence at insult or trespass."
67a79681-cb83-4904-9250-cc2ee30d7dc0,Elven Horses,elven_horses,riding_animals,"The Horses of the Elves, like the Mearas, are directly descended from Nahar, the steed of Oromë. Nahar is immortal; his descendants are not, but Elvish Horses live to great age (100 years is not unusual). They rarely have white markings except for an occasional white ""star""; large white patches (painted/piebald/skewbald) are never seen, though all other colors of lesser Horses occur, with white and silvery dappled gray more common. They prefer to live in wooded areas, as the Elves do, rather than the plains home to most Horses. More intelligent than most Horses, they need no bit or bridle, being empathetic enough to receive directions from their riders; most Elves do without a saddle. Finally, Elven Horses stand staunchly in the face of dangers that would terrify most Horses, brave even before supernatural terrors such as Trolls and the Undead. Famous individuals include Nahar (Steed of Oromë), Nimros (Steed of Glorfindel), and Rochallor (Steed of Fingolfin).",,"{forest,mountains,plains}",2026-06-15 16:25:44.988887,"{4,32,80,84}",encounter,,"[{""region"": ""Lorien"", ""probability"": 7}, {""region"": ""Rivendell"", ""probability"": 7}, {""region"": ""Woodland Realm"", ""probability"": 7}, {""region"": ""South Harlindon"", ""probability"": 7}]",all-day,1,"Rare, long-lived horses bred by the Elves — more intelligent and empathetic than common steeds, needing neither bit nor bridle and answering to their rider's mind. Usually grey, silver or dappled, favouring woodland over open plain. Toward travellers: gentle and loyal to those they trust, but they will not suffer a cruel or unworthy rider."
3d64ca52-5f13-46b1-896f-c250c2b1ce96,Grass Cats,grass_cats,carnivores,"Handsome, long-legged hunter of the plains of Calenardhon, now quite rare since Men have killed or domesticated most of its prey and hunt it for fear of losing sheep, goats or kine. Its thick buff fur absorbs grass pollen in summer, turning an eerie yellow-green. It hunts by leaping onto prey's back and driving its claws into throat and neck, and has killed Men this way; in heat or combat it gives off terrifying high-pitched shrieks on winter nights.",,{plains},2026-06-15 20:15:02.171759,"{5,14,62,63,82}",encounter,,"[{""region"": ""Fangorn"", ""probability"": 2}, {""region"": ""Parth Celebrant"", ""probability"": 3}, {""region"": ""Rohan"", ""probability"": 6}, {""region"": ""Wold"", ""probability"": 6}, {""region"": ""Westmarch"", ""probability"": 6}]",all-day,2,"A large, long-legged wild cat of the open plains, now rare; its thick buff fur tinges an eerie yellow-green in summer. Hunts by springing onto its prey's back and tearing at the throat — and has killed men this way — and shrieks unsettlingly on winter nights. Toward travellers: shuns people, but deadly if cornered or driven by hunger."
a85ddc65-e8d5-460e-99ea-8b2e6a0f70ec,Silvan Elves (Wood-elves),silvan_elves,elves,"When the Eldar departed from the original Elven homeland during the Elder Days, a number of their brethren remained behind. They decided not to seek the light of the Aman and were labeled as the Avari (Q. ""Unwilling, Refusers""). These kindreds were left to fend for themselves during the days when Morgoth's Shadow swept over the East. During these dark times they were forced into the secluded safety of the forests of eastern Middle-earth, where they wandered and hid from the wild Men who dominated most of the lands. They became known as the Silvan or Wood-elves. Physical Character: Most are slight of build, and all are thin by mannish standards. Ruddy of complexion, with sandy hair and blue or green eyes. Generalizations are difficult, however, since there are many kindreds and there is wide variation among them. Same endurance as for Noldor Elves. Males average 6'0"", females 5'9"". Same lifespan as for Noldor Elves. Cannot become sick or scarred and are virtually immune to disease. -10 bonus versus cold attacks. Their vision is the same as that of Noldor Elves. The Silvan folk are superb musicians and have tremendous hearing, even for Elves. +10 to Bardic spell attacks. They are also elusive. +10 for trickery and Stalking/Hiding maneuvers. The culture of the Silvan Elves is best characterized as unstructured and rustic by Elven standards, but rich and relatively advanced when compared to the ways of Men. They have always been independent, but as of late many have settled in kingdoms ruled by the Noldor or Sindar. They are met as the common folk of the woodland realms — hunters, foresters and bowmen of Mirkwood, Lorien and the eastern eaves — wary of strangers and seldom straying far from the trees.",,{forest},2026-06-15 20:28:26.531918,"{3,4,10,25,70,82,83,84}",group,,"[{""region"": ""Dor Guldur"", ""probability"": 6}, {""region"": ""Fangorn"", ""probability"": 6}, {""region"": ""Mirkwood Wilds"", ""probability"": 6}, {""region"": ""Eregion"", ""probability"": 6}, {""region"": ""Dale"", ""probability"": 6}, {""region"": ""Esgaroth"", ""probability"": 6}, {""region"": ""Lorien"", ""probability"": 7}, {""region"": ""Woodland Realm"", ""probability"": 6}]",all-day,0,"Forest-dwelling Elves who never crossed the Sea, living hidden in the deep woods of the East. Slight and lithe, ruddy-skinned with sandy hair, secretive and deeply bound to their woodland realms. Toward travellers: unseen until they choose to be seen; suspicious of strangers in their woods, but not hostile without cause."
b95be050-1da4-47ae-b5ea-b2305dd12f4d,Hounds,hounds,carnivores,"In Middle-earth the term Hound (Q. Huo, pl. Huron) almost always means the fierce Wolfhound, ranging from the diminutive dogs of Hobbit farmers near the Shire to the great noble beasts the Men of old used to hunt Wargs and the werewolves of Morgoth. Found wherever Men or Hobbits dwell, they sometimes run wild in deserted lands. The most famous was Huan of Valinor, one of the immortal hounds of Orome, who followed Celegorm into exile, aided Luthien and Beren, and both slew and was slain by Carcharoth.",,{mountains},2026-06-15 16:25:44.988887,"{11,57,62,85,86}",encounter,,"[{""region"": ""The Shire"", ""probability"": 6}, {""region"": ""Bree"", ""probability"": 6}, {""region"": ""Rohan"", ""probability"": 6}, {""region"": ""Lebennin"", ""probability"": 6}, {""region"": ""Fornost"", ""probability"": 6}]",all-day,2,"Domesticated dogs of Men and Hobbits — here usually the fierce wolfhound, from small farm dogs to great hunting beasts once bred to bring down wolves. Found wherever folk dwell, sometimes gone wild in empty lands. Toward travellers: loyal guardians to their masters, but a wild or guard pack will challenge and harry an intruder."
2b942989-6992-4cc3-8cee-df1914aac145,Losandamundar,losandamundar,riding_animals,"The rare white, long-haired Losandamunda (Q. ""Snow Elephant"") of the Far North is related to the Andamunda of southern Endor. These furry behemoths, though, are rarely domesticated. Instead, they are worshipped (notably by the Uax, but also by the Myri and Angcla tribes) or hunted (notably by the eastern Lossoth and Lotan).",,{NULL},2026-06-15 16:25:44.988887,{73},encounter,,"[{""region"": ""Forochel"", ""probability"": 7}]",all-day,1,"Rare white, shaggy-furred elephants of the frozen North — huge, cold-adapted behemoths, seldom tamed; the northern tribes either worship or hunt them. Toward travellers: peaceable grazers unless threatened, when their sheer bulk makes them deadly."
57650ea6-8999-4bf1-acc9-b32b4e23230d,Sindar (Grey-elves),sindar,elves,"The Sindar or ""Grey-elves"" are Eldar and were originally part of the great kindred called the Teleri. Unlike the Noldor, Vanyar, and bulk of the Teleri, the Sindar chose not to cross over the sea to Aman; instead they stayed in Middle-earth. They, like the Silvan Elves, are part of the Moriquendi, those Elves who never saw the Light of Valinor. Physical Character: Thin when compared to Men, the Sindar are nearly as tall as the Noldor but are generally slighter of build. They are more muscular than the Silvan folk. Most have fair hair and pale blue or grey eyes. Like the Noldor, they have light skin. Same endurance as Noldor Elves. Males average 6'5"", females 6'1"". Same lifespan as Noldor Elves. Cannot become sick or scarred and are virtually immune to disease. +15 bonus versus cold attacks. Vision same as that of Noldor Elves. Less musical than the Vanyar or Silvan Elves, and are less skilled in forging or crafts than the Noldor. Nonetheless, they are adept at all the arts and excel in their special provinces. No race builds better boats or ships. The Sindar are the most open and cooperative of Middle-earth's Elves. They are great teachers and borrowers and have an interest in the works of all races. Scattered through the eastern woods and the realms of their Silvan kin, they are encountered as counsellors, march-wardens and lords among the Wood-elves of Mirkwood, Lorien and the Vale of Anduin.",,{NULL},2026-06-15 20:28:26.531269,"{4,10,25,70,84}",group,,"[{""region"": ""Dale"", ""probability"": 6}, {""region"": ""Eregion"", ""probability"": 4}, {""region"": ""Esgaroth"", ""probability"": 6}, {""region"": ""Lorien"", ""probability"": 6}, {""region"": ""Woodland Realm"", ""probability"": 6}]",all-day,0,"Noble Grey-elves who stayed in Middle-earth rather than sail West — tall, fair-haired and pale-eyed, ancient and learned, carrying themselves with quiet authority. Toward travellers: courteous but reserved, measuring a stranger before they trust."
d889fc22-2d2d-402b-b656-7400bdcb941d,Blue Otters,blue_otters,carnivores,"Larger than common otters, with flattened, sharp-crested tails. Travel in small daytime groups feeding on fish eggs, small aquatic mammals and birds; den in sandbars or riverbanks, bearing only 1-2 young a year. Their large profile and valuable pelts make them endangered; protected by hunting bans across northwestern Endor, notably Gondor.",,{water},2026-06-15 16:25:44.988887,"{11,13,19}",encounter,,"[{""region"": ""Lebennin"", ""probability"": 6}, {""region"": ""Anfalas"", ""probability"": 6}, {""region"": ""Lamedon"", ""probability"": 6}]",all-day,2,"Large river otters with flattened, sharp-crested tails, moving in small daytime family groups along rivers and denning in banks and sandbars. Prized for their pelts and now protected and scarce. Toward travellers: shy and water-bound — little threat to people."
9c701b1a-07da-4329-8e3d-0829a7b91445,Leech,leech,water_animals,"While lauded for its medicinal qualities in some cultures, the Leech is only considered a nuisance in the delta. These nasty, slug-like creatures fasten to anything warm-blooded and use their serrated tongue to rasp through to a blood vessel. Then they remain fixed to their prey, gorging themselves until they are so full they slip off.",,{NULL},2026-06-15 16:25:44.988887,"{11,21,35,38}",encounter,,"[{""region"": ""Central Anduin"", ""probability"": ""4""}, {""region"": ""Nan Anduin"", ""probability"": ""4""}, {""region"": ""Lebennin"", ""probability"": ""4""}, {""region"": ""Enedhwaith"", ""probability"": ""4""}]",all-day,0,"Slug-like blood-sucking creatures of still, marshy water that fasten onto any warm-blooded body, rasp through the skin and gorge until full. A foul nuisance more than a danger. Toward travellers: a hazard of wading or camping by stagnant water, latching on unnoticed."
e3d9c6ea-bebb-43b8-9b6b-dfbef48df7cc,Andamundar,andamundar,riding_animals,"The Andamunda (Q. ""Elephant""; pl. ""Andamundar""; lit. ""Long-snouted"") is the smaller and more numerous cousin of the famous Mûmak. Like all its cousins, it has thick, pillarlike legs and flat, padded feet; loose skin and large ears provide heat regulation, enabling it to adapt to a variety of ecosystems. Its most notable feature is its trunk: an elongated nose and upper lip that serves as both a sensory organ and a prehensile grasping tool, used to smell, gather food, drink, and as a weapon in combat. Its pair of long tusks serve primarily as digging tools (it subsists on roots, shoots, twigs, fruit, leaves), a typical Andamunda eating about 400 pounds of food a day. Always active except for rest periods at night and a midday break, it roams in a constant search for security and food; its plodding belies its strength as a swift, agile runner that can run down and gore a foe. Unlike the Mûmak, it has a slightly humped back and one (vs. two or three) fingerlike extension at the base of its trunk, plus a gland to secrete scented waste. Like Mûmakil, females travel in herds led by an elder matriarch, bearing one offspring (after 21 months gestation) and raising the calf for 24-30 months. Domesticated by various cultures, used less than Mûmakil as riding animals but much easier to tame.",,{desert},2026-06-15 16:25:44.988887,{12},encounter,,"[{""region"": ""Harondor"", ""probability"": 7}]",all-day,1,"The smaller, common cousin of the war-mûmak — a true elephant with pillar legs, great ears, a grasping trunk and long tusks, eating hundreds of pounds of foliage a day. Toward travellers: a placid browser, but a frightened or angered one is immensely dangerous; some peoples ride or work them."
f3ff2bc3-dc5e-4f32-8b97-319f4c359bd3,Cave Bears,cave_bears,carnivores,"Huge bears (Q. ""Meglirondor"") weighing up to 1,400 lbs, with rough black fur striped brown on paws, ears and face. Paws can snap a neck and claws rend light metal or leather like linen, yet they are retiring creatures preferring roots, berries and fish. Monogamous and family-minded; males travel alone while females keep their cubs until grown.",,"{mountains,cave}",2026-06-15 16:25:44.988887,"{24,35,39,42,43,44,45,50,66,67,68,69,80}",encounter,,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 6}, {""region"": ""Coldfells"", ""probability"": 1}, {""region"": ""En Egladil"", ""probability"": 1}, {""region"": ""En Udanoriath"", ""probability"": 1}, {""region"": ""Ettenmoors"", ""probability"": 1}, {""region"": ""Forovirian"", ""probability"": 1}, {""region"": ""Iron Hills"", ""probability"": 4}, {""region"": ""North Misty Mountains"", ""probability"": 6}, {""region"": ""Rivendell"", ""probability"": 1}, {""region"": ""Talath Uichel"", ""probability"": 2}, {""region"": ""Trollshaws"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 1}]",all-day,3,"Enormous black bears up to 1,400 lbs, marked brown on paws, ears and face, with claws that rend metal and leather — yet shy creatures that prefer roots, berries and fish, and keep close family bonds. Toward travellers: avoid people, but catastrophic if surprised, cornered, or near their cubs."
