id,external_id,name,location_type,population,description,region,image_url,created_at,updated_at,geom,inhabitants,url_path,slug
895,0f7c547ffd39849d99de94f2d8d06762,Nobottle,town,,Nobottle was a small logging village just off the Fairwater road between Little Delving and Bywater. Its Cutters' Guild was known throughout the Westfarthing.,,,2026-05-13 04:41:07.022282,2026-05-13 04:41:07.022282,0101000020E61000008A98EA2B739F00C0CD8C92CC2ADB4940,,assets/locations,nobottle_895
1258,,Vamag,ruins,0.0,"Built in the mid-Second Age.. The rural retreat for Sauron's servant Adûnaphel, reputed to be one of the Nazgûl.. The local Coastal Peoples fear this site, declaring it to be haunted.",,,2026-06-09 01:08:28.098363,2026-06-09 01:08:28.098363,,,assets/locations,vamag_1258
959,92de3edf6a912695d755593861823454,Undrond,town,,"Udûdhrond ('Deep-hidden vault') was once a township of 4,300 on the west bank of the Gwathló, about eighty miles downriver from Tharbad. In its early Third Age heyday it was a prosperous inland port. By the mid-Third Age its population had collapsed following the Great Plague and Cardolan's disintegration, and by T.A. 1970 the town was fully abandoned. What remains is a stretch of crumbling stone foundations along the riverbank, half-hidden by vegetation — a haunted silence where a busy market once stood.",,,2026-05-25 20:17:49.256207,2026-05-25 20:17:49.256207,0101000020E61000000DFEE33D3DAFFD3FBDB32F13E61C4840,,assets/locations,undrond_959
1098,,Ost-in-edhil,ruins,0.0,"Founded by Galadriel and Celeborn around S.A. 750.. An Elven residence; smith halls for the magical crafters known as the Gwaith-i-Mírdain.. Celebrimbor the Smith, the forger of the Great Rings, made his home here, as did the fairly disguised Sauron.",,,2026-06-02 16:26:31.032324,2026-06-02 16:26:31.032324,0101000020E6100000341762BD556D184037904B44C1534840,,assets/locations,ost_in_edhil_1098
1045,,Tolfalas,town,,"The island of Tolfalas is a large, remote island guarding the mouth of the Anduin, its geography ranging from rugged coastal cliffs to sheltered inlets. The principal settlement (Gobel Tolfalas) sits at the end of a long firth on the southeastern coast, around a haven that has served as a Gondorian naval base since T.A. 759. Stone houses climb the ridge above the firth; the warden's small keep overlooks the water. The island's isolation and strategic position make it a place of passing sailors and military men more than settled farmers.",,,2026-05-31 21:38:58.976909,2026-05-31 21:38:58.976909,0101000020E61000002EDD57C7934F2840E36934571D6B4340,,assets/locations,tolfalas_1045
1046,,Ostara,town,,"A small Gondorian town of southeastern Belfalas, considered part of the County of Eregost. Its stone houses face the inland hills; the town serves as a minor administrative centre and market for the surrounding farmland and small estates.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E610000082E785E747FD2540D6B2A1FF1BDB4340,,assets/locations,ostara_1046
1047,,Eregost,town,,"A harbour-town in southeastern Belfalas and chief settlement of the County of Eregost. Its stone quays face the open waters of the Bay of Belfalas; fishing boats and small trading vessels keep the harbour busy. The town's houses are whitewashed stone with tiled roofs, and the smell of salt and tar is constant.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E610000047872F47923E2640123800FE7B024440,,assets/locations,eregost_1047
1127,,Lindon,town,,"An Elvish coastal settlement in Lindon, one of the last Elvish domains in the west of Middle-earth. The settlement is small and quiet — elegant timber-and-stone buildings half-hidden among trees near the shore, maintained by Elves who prefer the company of the sea to that of Men. A traveller is struck by the orderliness and beauty of everything here: tools put away neatly, gardens tended with obvious care, and always somewhere in the background the sound of music or quiet voices.",,,2026-06-02 16:42:35.351112,2026-06-02 16:42:35.351112,0101000020E6100000FB178A68309A2C40EEB0B089438A4440,,assets/locations,lindon_1127
1048,,Sarlond,town,,"A small Gondorian town on the Cape of Sarlond in northeastern Belfalas, between Thonfalas and Eregost. Its stone houses and small harbour face the open waters of the bay; fishing and coastal trade are the main activities. The cape gives good shelter from westerly storms.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000CC44B56247532740913D31FADD2C4440,,assets/locations,sarlond_1048
1049,,Thonfalas,town,,"A small coastal town in easternmost Belfalas, on the western part of the Gilrain-Serni bay. Its stone fishermen's houses face the water; the bay provides good anchorage and rich fishing. The town is a quiet, salt-wind-scoured settlement dependent on the sea.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000BD30B89AC99A2740BF790ADFE84B4440,,assets/locations,thonfalas_1049
1050,,Nargond,town,,"A township of Belfalas on the coastal road, roughly halfway between Ráma and Endil. It is the chief settlement of the county of the same name — a modest Gondorian town of stone houses, fishing boats and small trading vessels. The coastal road keeps it connected to the wider economy of Belfalas.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E61000003F04F3CFC8A62340A71B49F67F4C4440,,assets/locations,nargond_1050
1051,,Rama,town,,A town of Gondor or the coastal region whose character and economy reflect the local geography.,,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000824256ACFC3223404E7ACF5834774440,,assets/locations,rama_1051
1052,,Bar Algund,town,,"A small town of western Belfalas, lying close to the great seat of Dol Amroth and within the same Grithion. Bar Algund's stone houses and small harbour face the Bay of Belfalas; the town relies on fishing and on trade with the Prince's court nearby. Its name derives from an old Gondorian family that once held the local lands.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E61000006DF46660406C22407A75A9B73F924440,,assets/locations,bar_algund_1052
1198,,Caras Amarth,ruins,0.0,"Built by King Oropher, circa S.A. 2255.. Former royal palace of the Woodland Realm.. Similar to the Aradhrynd, the palace was a network of caverns hollowed out of a hillside deep within the forest.",,,2026-06-09 01:08:28.076605,2026-06-09 01:08:28.076605,,,assets/locations,caras_amarth_1198
1216,,Goblin-town,city,3100.0,Natural caverns occupied by Orcs since at least the Second Age.. A base for raiding and dominating the Misty Mountain passes; a breeding ground for Orcs.. Goblin-town is an Orc-infested system of caverns near the High Pass connecting Imladris to the lands of Rhovanion.,,,2026-06-09 01:08:28.08359,2026-06-09 01:08:28.08359,,"70% Orcish, 5% Troll, 25% Mixed Mannish Slaves",assets/locations,goblin_town_1216
1054,,Emlin,town,,"A small fishing village in the southernmost Angle of Lossarnach, where the river Erui meets the great Anduin. Its stone houses and wooden wharves face the confluence; the people here are fishermen who work the rich waters where the rivers meet. Flat-bottomed boats and nets are spread on every bank.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000B37A8A6DAC7131406034F490ACE84440,,assets/locations,emlin_1054
1055,,Bar Erui,town,,"A mountain hamlet of no more than thirty-five households in the foothills of the Blue Mountains (Ered Luin), known as 'Eruimar' or 'Lonely Home'. Though remote, it is easy enough to spot — travellers lost in the foothills look for its stone houses on the hillside. Founded as a Dúnedain trading post for trappers and mountaineers, it retains that character in the mid-Third Age, with a small Laughing Brook running through the settlement. Many of its roughly 150 inhabitants are Riverman or Northman stock, and the tavern here can fill a long evening with wild tales from the hills.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E610000057B1BAF6283E3140FD6A249BE7064540,,assets/locations,bar_erui_1055
1056,,Imloth Melui,town,,"Imloth Melui ('Sweet flower-valley') is a fertile valley in Lossarnach dotted with small settlements, orchards and herb-gardens. Its principal settlement is Arnach, seat of Forlong the Fat, Lord of Lossarnach. The valley is famous for its roses and healing herbs; a traveller riding through in spring is struck by the colour and fragrance of the terraced slopes. The Hall of the Gentle Hand and the Hall of Lady Vanyalos are known throughout southern Gondor for their healers.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000329FA31735CD304078A6BB7B5E4B4540,,assets/locations,imloth_melui_1056
1057,,Barad Othnir,town,,"A castle and small settlement in northeastern Harithilien, perched on a rocky spur of the western Ephel Dúath. Its tower overlooks the main road below, offering a commanding view of traffic moving between Ithilien and Mordor. The castle walls are of dark mountain stone; the name means 'Tower of the War-wager' in Sindarin. A small garrison and their families live in the shadow of the keep.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E610000000C0493E19C63240A85492A8297E4540,,assets/locations,barad_othnir_1057
